eid,title,year,source,stage1_decision,reason_category,method,signals
2-s2.0-105011949210,Cactus-inspired multifunctional Bio-kinetic façade for energy performance improvement assessed by a novel energy simulation framework,2025,Energy and Buildings,include,kinetic_facade,rule,strong:kinetic | bldg:façade
2-s2.0-105023438458,Programming Bilayer Structures in 4D-printed Hygromorphs by Tailoring Porosity in Macroscale,2025,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia,include,kinetic_facade,rule,strong:hygromorph | bldg:journal
2-s2.0-105023682057,Rice husk 4D printing in architecture: hygromorphic bi-directional self-shaping building skin,2025,Virtual and Physical Prototyping,include,kinetic_facade,rule,strong:4d print; hygromorph; self-shaping | bldg:architect; building; skin
2-s2.0-85173863789,Topology Morphing Insulation: A Review of Technologies and Energy Performance in Dynamic Building Insulation,2023,Energies,include,kinetic_facade,rule,strong:morph | soft:dynamic | bldg:building; envelope
2-s2.0-85123267436,Shape-programmable fluid bubbles for responsive building skins,2022,Journal of Building Engineering,uncertain,soft_motion_facade,ai,soft:responsive | bldg:building
2-s2.0-85040938076,"Architecture In-Play, Future Challenges",2018,Nexus Network Journal,uncertain,building_generic,ai,bldg:architect
2-s2.0-85048328980,Adaptation as a framework for reconsidering high-performance residential design: A case study,2013,Acadia 2013 Adaptive Architecture Proceedings of the 33rd Annual Conference of the Association for Computer Aided Design in Architecture,uncertain,facade_no_explicit_motion,ai,bldg:architect; building; envelope
2-s2.0-84886676476,Occupant-proof buildings: Can we design buildings that are robust against occupant behaviour?,2013,Proceedings of Bs 2013 13th Conference of the International Building Performance Simulation Association,uncertain,building_generic,ai,bldg:architect; building; occupant
2-s2.0-85193295346,Hierarchically Programmed Meta-Louver Fabric for Adaptive Personal Thermal Management,2024,Advanced Functional Materials,uncertain,soft_motion_facade,ai,soft:adaptive | bldg:louver
2-s2.0-85165353988,Adaptive Façades Strategy: An architect-friendly computational approach based on co-simulation and white-box models for the early design stage,2023,Energy and Buildings,uncertain,soft_motion_facade,ai,soft:adaptive | bldg:architect; façade
2-s2.0-85114744779,Effects of light condition on growth and physiological characteristics of the endangered species sedirea japonica under rcp 6.0 climate change scenarios,2021,Plants,uncertain,no_signal_keep,ai,
2-s2.0-85160419231,Exergy-Based Responsive Building Composites For Thermal Control Stimuli of an Adaptive Envelope,2020,PLEA 2020 35th PLEA Conference on Passive and Low Energy Architecture Planning Post Carbon Cities Proceedings,uncertain,soft_motion_facade,ai,soft:adaptive; responsive | bldg:building; envelope
2-s2.0-85050261029,Performance analyses of temporary membrane structures: Energy saving and CO2 reduction through dynamic simulations of textile envelopes,2018,Sustainability Switzerland,uncertain,soft_motion_facade,ai,soft:dynamic | bldg:architect; envelope
2-s2.0-0026225663,Development of a land vehicle heading reference unit,1991,Conference Proceedings Symposium Gyro Technology,uncertain,no_signal_keep,ai,
2-s2.0-0026158977,Use of nonlinear envelope feedback to linearize the characteristics of power amplifiers,1991,Telecommunications and Radio Engineering English Translation of Elektrosvyaz and Radiotekhnika,uncertain,facade_no_explicit_motion,ai,bldg:envelope
2-s2.0-105032667262,Integrating Generative Design and Artificial Intelligence for Optimized Energy-Efficient Composite Facades in Next-Generation Smart Buildings,2026,Sustainability Switzerland,uncertain,soft_motion_facade,ai,soft:smart | bldg:building; facade
2-s2.0-105005327434,Enhanced Adaptive Prescribed Performance Constrained Control With Safe Dynamic Envelope for Input-Saturated Nonlinear System,2025,IEEE Transactions on Automation Science and Engineering,uncertain,soft_motion_facade,ai,soft:adaptive; dynamic | bldg:envelope
