eid,title,matched,author_keywords,abstract_head,mechanism_family,study_type,performance_reported,judged_on
2-s2.0-86000026738,Experimental Investigation of Thermal Performance of Windows with External Shading Slats for Air-Conditioned Buildings in Thailand,movable,Building envelope; Movable shading slats; Solar control; Thermal performance; Tropical climate,The thermal performance of a glazed window equipped with external multiple slats was investigated for which it was used as a façade of air-conditioned buildings in a tropical climate. Experiments were,mechanical,experiment,energy,abstract+keywords
2-s2.0-85159225348,Parametric design of an automated kinetic building façade using BIM: A case study perspective,kinetic,Automation; BIM; Building technology; Construction design; Kinetic façade; LEED; Pollination,"Pollination plays a critical role in maintaining human life and its importance has been widely recognized by researchers. However, as the world population grows, construction activities have increased",unclear,simulation,energy,abstract+keywords
2-s2.0-85156186000,Passive Intelligent Kinetic External Dynamic Shade Design for Improving Indoor Comfort and Minimizing Energy Consumption,kinetic,energy saving; external dynamic shade; multi-objective optimization; NSPSO; Shade-Light Shelf (SLS) system; thermal comfort; visual comfort,"In humid subtropical climates with a green environment, windows are the most dominant envelope elements affecting indoor visual and thermal comfort and visual connection to the outdoors. This research",unclear,experiment,multiple,abstract+keywords
2-s2.0-85151617946,Integrated Kinetic Fins for Western Facades in Territories with Low Solar Altitudes,kinetic,kinetic shading systems; optimization; uniform daylighting distribution; western façade,"Insufficient daylighting can negatively affect working quality and productivity and increase lighting energy consumption in buildings. Particularly, the western orientation has a non-uniform daylighti",unclear,simulation,multiple,abstract+keywords
2-s2.0-85207568006,Impact of Automated Roof Shading on Building Energy Performance in Warm and Humid Climates of India,retractable,Building energy conservation; Passive envelope design; Retractable roof shading,"In tropical climes, the roof is the building envelope component that gets the most solar radiation. Heat gain and heat loss through the roof substantially impact the comfort of occupants on the upperm",mechanical,simulation,multiple,abstract+keywords
2-s2.0-85142533892,Morphology of kinetic asymptotic grids,kinetic,Asymptotic networks; Comparative modelling; Kinetic behaviour; Semi-compliant mechanism,This paper investigates the kinetic behaviour of asymptotic lamella grids with variable surface topology. The research is situated in the field of semi-compliant grid mechanisms. Novel geometric and s,compliant,experiment,energy,abstract+keywords
2-s2.0-85139220297,"Tectonics of kinetic architecture: Moving envelope, changing space and the shades of the shed",kinetic,adaptive structures; kinetic architecture; taxonomy; tectonics; the shed; theory of architecture,"Buildings in our day are no more frozen pieces of music as ascribed by Johann Wolfgang von Goethe. They can move, rotate, flip and perform various physical gestures. This paper aims to explore the spa",mechanical,theoretical,none,abstract+keywords
2-s2.0-85116068103,Adaptive opaque façades and their potential to reduce thermal energy use in residential buildings: A simulation-based evaluation,kinetic,Adaptive heat transfer; adaptive insulation; building performance simulation; kinetic claddings; switchable coatings; thermal performance,Adaptive façades are a promising choice to achieve comfortable low-energy buildings. Their effective performance is highly dependent on the local boundary conditions of each application and on the way,unclear,simulation,multiple,abstract+keywords
2-s2.0-85125244497,Harvesting renewable energies through innovative kinetic honeycomb architectural facades: the mathematical & CFD modeling for wind turbine design optimization,kinetic,Harvest renewable energy; kinetic honeycomb architectural façade; numerical and simulated CFD; wind turbines design for second façade architecture buildings,"The research was specifically focused on the renewable energy factors associated with thousands of hexagonal micro-module wind turbines, hexagonal solar cell modules, and hexagonal modules for solar-r",unclear,simulation,energy,abstract+keywords
2-s2.0-85114441240,Taxonomical Investigation of Self-Sufficient Kinetic Building Envelopes,kinetic,Adaptive building envelope; Autoreactive; Intrinsic control; Kinetic building; Passive actuation; Smart materials,"Currently, most descriptions of low-energy buildings assume that the envelope acts as a barrier against energy loss. However, this approach does not focus on the potential exploitation of f...",unclear,unclear,energy,abstract+keywords
2-s2.0-85115123664,Sustainability‐related parameters and decision support tools for kinetic green façades,kinetic,Climate resilience; Decision support tools; Green façade; Kinetic façade; POE; Post‐occupancy evaluation; Sustainable architecture,"Constant challenges, environmental threats, and rapid changes of living conditions on the earth make it necessary to seriously take up the topic of resilience and sustainability. The interdisciplinary",unclear,simulation,none,abstract+keywords
2-s2.0-85103393355,Exploring expressive and functional capacities of knitted textiles exposed to wind influence,kinetic,Aesthetic qualities; Digital textile simulation; Kinetic architecture; Knitted textiles; Textile architecture; Wind,This study explores the design possibilities with knitted architectural textiles subjected to wind. The purpose is to investigate how such textiles could be applied to alter the usual static expressio,unclear,experiment,comfort,abstract+keywords
2-s2.0-85112492238,Office with Kinetic Sunshading Application on Building Envelopes at Setiabudi,kinetic,kinetic; Office; sunshading,"The Setiabudi area is a business district located in South Jakarta and is one of the business and office centers in Jakarta. With the development of the economy in Jakarta, the need for office buildin",unclear,simulation,energy,abstract+keywords
2-s2.0-85112088754,SLICE: An innovative photovoltaic solution for adaptive envelope prototyping and testing in a relevant environment,foldable; kinetic,Adaptive envelopes; BIPV; Composite material; Foldable surface; Kinetic structure; Photovoltaic; Skin system,The development of adaptive architectural envelopes is one of the goals of researchers that aim to improve the energy performance of buildings. Traditional devices often have drawbacks linked to the c,origami-deployable,experiment,energy,abstract+keywords
2-s2.0-85103402498,A smart façade system controller for optimized wind-induced vibration mitigation in tall buildings,morphing,Artificial neural network; Data-driven controllers; Simulation-based optimization; Smart morphing façade; Tall buildings; Wind induced vibration,Wind-induced vibration (WIV) of tall buildings is a major cause of occupant discomfort and potential fatigue damage. Catastrophic failure may also take place at wind speeds that are lower than the des,unclear,simulation,comfort,abstract+keywords
2-s2.0-85112286642,A typology of adaptive façades. An empirical study based on the morphology of glazed facades,kinetic,adaptive façade; adaptive shading; glass façade; kinetic façade,"A building's façade is its main interface with the external environment. Adaptive façade, one recent invention in the façade industry, has the capability to change its behaviour in real-time to respon",unclear,unclear,none,abstract+keywords
2-s2.0-85121792665,RESPONSIVE FAÇADES DESIGN USING NANOMATERIALS for OPTIMIZING BUILDINGS' ENERGY PERFORMANCE,shape memory,Adaptive nanomaterials; Energy efficiency; Energy performance; Nanomaterials; Phase change materials; Responsive façades; Shape memory materials,"According to the International Energy Agency (IEA) buildings and construction sector globally is showing an increase in both emissions and energy use,...",material-driven,unclear,energy,abstract+keywords
2-s2.0-85091204812,A multi-objective optimization approach for climate-adaptive building envelope design using parametric behavior maps,kinetic,Building energy; Climate-adaptive kinetic facade; Daylighting; Dynamic operations schedule; Multi objective optimization (MOO); Parametric behavior map (PBM),This research presents a multi-objective optimization (MOO) framework to support the climate-adaptive building envelope (CABE) design decisionmaking process using a parametric behavior map (PBM). Unli,material-driven,experiment,multiple,abstract+keywords
2-s2.0-85086497914,New Approach in Designing a Kinetic Window Shading Using Optimization Methods,kinetic,Commercial buildings; Optimum geometrical shading design parameters; Simulation-based optimization; Window shading,"In the United States, commercial buildings consume 18% of the total primary energy, which is predicted to increase by 1.2% per year from 2006 to 2030 due to population and economic growth. ...",unclear,simulation,energy,abstract+keywords
2-s2.0-85094812727,Modeling and Implementation of an Adaptive Facade Design for Energy Efficiently Buildings Based Biomimicry,kinetic,Adaptive shielding; Biomimetic; Energy; Energy efficiently; Kinetic facade; Smart building,"In the present and future, the buildings more qualified and energy saved to their inevitable surroundings has turned into a need and turn into a critical research point. To accomplish total decarboniz",unclear,simulation,multiple,abstract+keywords
2-s2.0-85088049126,Transformable building envelope design in architectural education,kinetic,Architectural education; Building façade; Kinetic mechanism; Transformable building envelopes,"Transformable building envelope design plays a key role in energy performance and sustainability of the built environment considering the thermal, lighting, acoustic, and visual comfort of the occupan",unclear,prototype,multiple,abstract+keywords
2-s2.0-85062462263,A shape grammar approach to climatically adaptable façade systems with real time performance evaluation,kinetic,Kinetic façades; Parametric design; Performance monitoring; Shape grammar; Smart building environments,New computational techniques have been introduced to assist the design of adaptable building façades and to help quantify relationships between...,unclear,simulation,none,abstract+keywords
2-s2.0-85047811689,Performative design environment for kinetic photovoltaic architecture,kinetic,Adaptive shading; Kinetic architecture; Multi-functional envelope; Parametric design; Performative design,The design of complex architectural components such as kinetic architectural elements poses a challenge due to the multiple technological branches involved. This paper presents a performative design e,unclear,experiment,multiple,abstract+keywords
2-s2.0-85041382639,Developing an advanced daylight model for building energy tool to simulate dynamic shading device,kirigami,Building energy; Daylight; Dynamic shading; Kirigami,Recent developments in materials engineering create a possibility of new building envelope systems to increase various aspects of building performance. One of the recent developments is a dynamically ,origami-deployable,simulation,multiple,abstract+keywords
2-s2.0-85051750668,Modeling and fabrication of a kinetic solar energy-absorbing window as a green idea for sustainable future buildings,kinetic,Air heater; Box window facade; Energy efficiency; Kinetic facade; Natural ventilatio,"Renewable versus nonrenewable energy sources and their respective environmental impacts have emerged as preeminent industrial, as well as environmental concerns. Negotiation between policies that prom",unclear,experiment,multiple,abstract+keywords
2-s2.0-85056302357,The role of geometry for adaptability: Comparison of shading systems and biological role models,kinetic,Adaptive facades; Biomimetics; Geometry; Growth pattern; Kinetic mechanisms; Shading systems; Spatial morphology,"Dynamic shading systems represent the majority of realised adaptive façades. It seems that geometrically complex kinetic solutions have increased in recent years, mainly due to the use of parametric d",unclear,simulation,none,abstract+keywords
2-s2.0-85054607143,Flexible transparency - A study on adaptive thin glass façade panels,kinetic,Adaptive façade; Glass design; Kinetic façade; Lightweight façade; Thin glass,"Chemically strengthened thin glass (t < 2 mm) is a material that is stronger and due to its small thickness, more flexible than conventional window glass. As such, thin glass offers the possibility fo",unclear,prototype,multiple,abstract+keywords
2-s2.0-85018592600,Interactive architecture: Exploring and unwrapping the potentials of organic user interfaces,kinetic,Ambient displays; Interactive architecture; kinetic building skins; Organic user interfaces; Shape changing interfaces; Tangible user interfaces,"Organic User Interfaces (OUIs) are flexible, actuated interfaces characterized by being aesthetically pleasing, intuitively manipulated and ubiquitously embedded in our daily life. In this paper, we c",unclear,unclear,none,abstract+keywords
2-s2.0-84992428115,The Sustainability of Adaptive Envelopes: Developments of Kinetic Architecture,kinetic,adaptability; kinetic architecture; responsive architecture,The paper presents an overview of adaptable envelopes and shading systems applied in contemporary architecture; it offers a study of different design approaches and a brief analysis of exemplifying ca,unclear,simulation,energy,abstract+keywords
2-s2.0-85010991418,Wooden bilayers for innovative climate adaptive shading and tracking systems,shading and tracking,,nan,unclear,unclear,unclear,title+keywords
2-s2.0-84976439530,Simulation driven design for kinetic system; optimize kaleidocycle façade configuration for daylighting adequacy in hot arid climates,kinetic,,nan,unclear,simulation,daylight,title+keywords
2-s2.0-85046073479,A Design Framework and a Digital Toolset Supporting the Early-Stage Explorations of Responsive Kinetic Building Skin Concepts,kinetic,,In this paper we present the first phase of our research on the development of a framework for early-stage responsive kinetic building skin design. The aims of this study were: to formulate a methodol,unclear,experiment,none,abstract+keywords
2-s2.0-84887981105,Parametric camshaft mechanism for adaptive building envelope and kinetic building ornaments,kinetic,Adaptive building envelope; Building ornaments; Camshaft mechanism; Kinetic building,This paper offers development of the building envelope that aims to revive a new expression of traditional decorative elements by applying digital technology as well as having an adaptive function. Th,mechanical,simulation,none,abstract+keywords
2-s2.0-84887384538,Developing a weather responsive internal shading system for atrium spaces of a commercial building in tropical climates,retractable,Atrium building; Buffer zone; Cost analysis; Lighting quality; Retractable shading system; Thermal comfort,In response to the non-trivial problem of overheating in glass roofed buildings in low latitudes a study was undertaken to reduce discomfort and high energy consumption in a large atrium building in C,mechanical,experiment,multiple,abstract+keywords
2-s2.0-84904663253,Controlling kinetic cladding components in building façades: A case for autonomous movement,kinetic,,nan,unclear,unclear,unclear,title+keywords
2-s2.0-84903122488,The design and physical modelling of deployable structures based on curved-line folding,deployable; folding,Curved-crease folding; Curved-line folding; Deployable structures; Kinematic shading; Pliable structures; Scale models,"Curved-line folding is the act of folding paper along a curved crease pattern in order to create a 3D shape, using the combination of folding (plastic...",origami-deployable,prototype,none,abstract+keywords
2-s2.0-84871554288,Adaptive building envelope system using parametric camshaft mechanism for sustainable building,kinetic,Adaptive building envelope; Camshaft mechanism; Energy efficiency; Kinetic building,"Adaptation is essential to manage the problem of climate change. In order to meet this growing challenge, this paper propose an adaptive building envelope system that can optimize its configuration by",mechanical,simulation,energy,abstract+keywords
2-s2.0-84865596200,Communication between physical and virtual models in designing smart buildings,kinetic,BIM; Interactive Wall; Kinetic Façade; Physical Computing; Smart Building,The aim of this paper is to propose a collaborative design environment which helps interact with virtual and physical models for the smart building design. We propose the framework which enables desig,unclear,prototype,none,abstract+keywords
2-s2.0-81255170216,Network of epidermic/kinetic/systems,kinetic,epidermis; kinetic architecture; network,The theoretical and practical frame of this thesis pertains to the intersection of the title's concepts. In this project we will explore how kinetic architecture could be approached through the design,unclear,theoretical,none,abstract+keywords
2-s2.0-80055022185,Kinetic building envelopes for energy efficiency: Modeling and products,kinetic,Building envelope; Energy efficiency; Kinetic architecture,Adaptive Building Envelope was discussed in recent years and became a possible solution for energy efficiency. We conducted a study of kinetic building envelopes for energy efficiency in the context o,unclear,experiment,energy,abstract+keywords
2-s2.0-81255146361,Feedback architecture,kinetic,'global' office worker; 'purpose rules'; Adrian Leaman; advanced modeling; Aedus R&D; Al-Bahr ICHQ Towers; algorithmic logic; Arup; Autodesk's LandXPlorer; Barclays Cycle Hire Network Usage Visualisation; Bill Hillier; Blackwall Reach Regeneration; Building Sustainable Communities; computational design; Computational Design Research (CDR); curtain-wall glazing; Digital Masterplanning (Digma); dynamic Mashrabiya; external consultancy; kinetic shading screen; LEED Silver standard; Magoroh Maruyama; MIST 340 neighbourhood; Smart Solutions for Social Planning (SSSP); Space Syntax; spatial morphologies; sustainable design; tall building projects; urban ecology of buildings; UrbanBuzz; Whitechapel Crossrail station,"The specialist research and design unit in Aedas' London office focuses on three principal areas of research: computational design, advanced modelling and sustainable design. Christian Derix, Judit Ki",unclear,simulation,daylight,abstract+keywords
2-s2.0-84870586182,Madrid's landscape through its cornice 1. from a façade to a kinetic section,kinetic,,nan,unclear,unclear,unclear,title+keywords
