eid,eff_doi,title,source,doctype,mechanism_family,study_type,performance_reported,decision,pass2_note
2-s2.0-105038479955,10.1007/978-3-032-10546-2_136,"Curved-Folding Biomimicry-Inspired Kinetic Facades: Integrating Composite Materials for Energy-Efficient, Motorless Adaptive Building Envelope",Lecture Notes in Civil Engineering,Conference Paper,material-driven,experiment,energy,include,
2-s2.0-105037803012,10.1109/southeastcon63549.2026.11476704,Intelligent Facades: An IIoT and Digital Twin Framework for Occupancy-Aware Kinetic Envelope Control,Conference Proceedings IEEE SOUTHEASTCON,Conference Paper,origami-deployable,prototype,multiple,include,
2-s2.0-105033982139,10.3389/fbuil.2026.1788657,Multi-criteria performance assessment of an adaptive kinetic photovoltaic shading system,Frontiers in Built Environment,Article,origami-deployable,simulation,multiple,include,
2-s2.0-105039709363,10.1155/ina/9959278,"Deep Reinforcement Learning–Based Multiobjective Control of Hybrid Building Envelopes: Integrating Adaptive Façades, Passive Radiative Cooling, and Indoor Air Quality Management Across Iranian Climates",Indoor Air,Article,origami-deployable,simulation,multiple,include,
2-s2.0-105029808836,10.3389/fbuil.2025.1753356,Adaptive high-performance and multifunctional façade systems,Frontiers in Built Environment,Article,origami-deployable,prototype,multiple,include,
2-s2.0-105038361506,10.63044/w26xio184,Environmentally Responsive Shading Structures with Sensor-Based Prefabricated Mechanical Systems,ASHRAE Transactions,Conference Paper,unclear,experiment,multiple,include,
2-s2.0-105020666081,10.1007/978-3-032-03769-5_17,Enhancing Customer Perceptions and Satisfaction Towards AI Driven Windows Facade Market in South India,Lecture Notes in Networks and Systems,Conference Paper,unclear,simulation,multiple,include,
2-s2.0-105033272638,10.3389/fbuil.2026.1756470,Deformability of perforated bending-active façade plates,Frontiers in Built Environment,Article,origami-deployable,simulation,energy,include,
2-s2.0-105032131255,10.3389/fbuil.2025.1738453,CNC-knitted textiles for adaptive building envelopes: material programming and interdisciplinary design strategies,Frontiers in Built Environment,Article,origami-deployable,experiment,none,include,
2-s2.0-105034936501,10.1016/j.enbenv.2026.02.006,Targeting integrated daylighting comfort in deep office by multi-objective optimization using partial vertical deployment of adaptive corrugated shadings,Energy and Built Environment,Article,origami-deployable,simulation,multiple,include,
2-s2.0-105029271876,10.1016/j.enbenv.2025.09.001,Human-shading interaction in shared offices: An experimental study,Energy and Built Environment,Article,unclear,experiment,multiple,include,
2-s2.0-105018307628,10.1016/j.apenergy.2025.126860,"Adaptive BIPV shading optimization for electricity generation and building electricity management, sDA, and DGP using multi-objective algorithms",Applied Energy,Article,mechanical,simulation,multiple,include,
2-s2.0-105010871768,10.15627/jd.2025.18,Designing a Kinetic Façade to Control Glare: Inspiration of Long-Day Plants Pattern,Journal of Daylighting,Article,unclear,simulation,daylight,include,
2-s2.0-105009003053,10.15627/jd.2025.17,Tessellation-Based Origami-Inspired Movable Façade for Daylighting and Exposure Optimization: Assessing Different Movement Approaches,Journal of Daylighting,Article,origami-deployable,simulation,multiple,include,
2-s2.0-105022195387,10.1016/j.rineng.2025.107518,Impact of Window-to-Wall Ratio (WWR) and shading on energy demand in a residential building across five distinct climates,Results in Engineering,Article,unclear,simulation,energy,include,
2-s2.0-105022127404,10.1007/s43621-025-02178-6,Climate responsive simulation of passive shading strategies for seasonal optimization of building energy demand,Discover Sustainability,Article,unclear,simulation,energy,include,
2-s2.0-105016872513,10.1016/j.buildenv.2025.113749,A hybrid framework for optimal design and control strategies of retractable roof stadium based on CNN-LSTM and NSGA-II,Building and Environment,Article,origami-deployable,simulation,multiple,include,
2-s2.0-105017841864,10.1016/j.jobe.2025.114325,A novel adaptive façade using cable-driven compliant mechanisms,Journal of Building Engineering,Article,origami-deployable,simulation,multiple,include,
2-s2.0-105014006634,10.1016/j.enbuild.2025.116319,A comprehensive approach to evaluate environmentally adaptive façade concepts through the use of fundamental environmental conditions,Energy and Buildings,Article,origami-deployable,experiment,energy,include,
2-s2.0-105022933329,10.3390/eng6110292,Retrofitting for Energy Efficiency Improvement Using Kinetic Façades in Residential Buildings: A Case Study from Saudi Arabia,Eng,Article,origami-deployable,simulation,multiple,include,
2-s2.0-105011949210,10.1016/j.enbuild.2025.116188,Cactus-inspired multifunctional Bio-kinetic façade for energy performance improvement assessed by a novel energy simulation framework,Energy and Buildings,Article,mechanical,simulation,multiple,include,
2-s2.0-105010957276,10.1016/j.tws.2025.113702,Simulation and optimisation of frames subjected to torsion for buckling-induced morphing of shading modules,Thin Walled Structures,Article,compliant,experiment,none,include,
2-s2.0-105015518906,10.1115/1.4069135,Energy Benefits of Retrofitting Residential Communities: Case Study of KAUST Villa Housing Community,Journal of Engineering for Sustainable Buildings and Cities,Article,origami-deployable,case-study,energy,include,
2-s2.0-105014465252,10.1016/j.est.2025.118179,Design and thermal performance analysis of a dynamic shading device incorporating phase change materials,Journal of Energy Storage,Article,mechanical,experiment,multiple,include,
2-s2.0-105010473513,10.1016/j.enbuild.2025.116105,Bio-adaptive reflective photovoltaic (BARP) facade system: a multimodal energy-saving solution based on light reflection,Energy and Buildings,Article,unclear,experiment,multiple,uncertain_fulltext,PROMOTE: tracking façade
2-s2.0-105013796800,10.1016/j.jobe.2025.113797,Understanding the visco-thermo-mechanical behavior of nitinol for climate-adaptive window shading devices,Journal of Building Engineering,Article,material-driven,experiment,daylight,include,
2-s2.0-105020014559,10.3390/biomimetics10100711,Biomimetic Shading Systems: Integrating Motorised and Moisture-Responsive Actuation for Adaptive Façades,Biomimetics,Article,material-driven,experiment,multiple,include,
2-s2.0-105008155170,10.1016/j.solener.2025.113692,"Kirigami-inspired novel photovoltaic shading facade: multi-objective optimization of energy consumption, daylighting, thermal comfort, visual comfort, and landscape view",Solar Energy,Article,origami-deployable,simulation,multiple,include,
2-s2.0-105018226817,10.35784/bud-arch.7102,"Simulation-based performance evaluation of kinetic Mashrabiya for thermal comfort and energy efficiency in arid climates: A case study in Biskra, Algeria",Budownictwo I Architektura,Article,unclear,simulation,multiple,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-105009764615,10.1016/j.buildenv.2025.113359,Machine learning-based adaptive control of PV shading for residential energy and visual comfort optimization,Building and Environment,Article,unclear,simulation,multiple,include,
2-s2.0-105015982844,10.3390/buildings15162977,Reinforcement Learning-Enabled Adaptive Control for Climate-Responsive Kinetic Building Facades,Buildings,Article,origami-deployable,experiment,multiple,include,
2-s2.0-105014382323,10.3390/smartcities8040127,Optimizing Building Performance with Dynamic Photovoltaic Shading Systems: A Comparative Analysis of Six Adaptive Designs,Smart Cities,Article,unclear,prototype,multiple,include,
2-s2.0-105005854246,10.1016/j.autcon.2025.106295,Two-stage optimization of infinite rotation-freedom façade systems using machine learning surrogate models,Automation in Construction,Article,mechanical,experiment,daylight,include,
2-s2.0-105014965797,10.1115/1.4068810,"Parametric Design of Tessellated Geometric Kinetic Façade for Daylighting and Glare Control in a High-Rise Hospital Building in Amman, Jordan",Journal of Engineering for Sustainable Buildings and Cities,Article,origami-deployable,simulation,multiple,include,
2-s2.0-105014622413,10.3390/buildings15162847,Optimization of External Horizontal Slat Configurations for Enhanced Tropical Daylighting in High-Rise Apartments,Buildings,Article,mechanical,simulation,multiple,include,
2-s2.0-105014419342,10.3390/buildings15162958,Multi-Objective Optimization of a Folding Photovoltaic-Integrated Light Shelf Using Non-Dominated Sorting Genetic Algorithm III for Enhanced Daylighting and Energy Savings in Office Buildings,Buildings,Article,origami-deployable,simulation,multiple,include,
2-s2.0-105014402389,10.3390/buildings15162904,Daylighting Performance Simulation and Optimization Design of a “Campus Living Room” Based on BIM Technology—A Case Study in a Region with Hot Summers and Cold Winters,Buildings,Article,mechanical,simulation,multiple,include,
2-s2.0-105002776077,10.1016/j.engstruct.2025.120362,Tensile self-locking behavior of reconfigurable origami structure,Engineering Structures,Article,pneumatic-soft,experiment,none,include,
2-s2.0-105000865212,10.1016/j.jobe.2025.112415,Integration of bio-inspired adaptive systems for optimizing daylight performance and glare control,Journal of Building Engineering,Article,origami-deployable,unclear,multiple,include,
2-s2.0-105007087859,10.37934/arfmts.131.1.155174,Angle of Folding of Dynamic Kinetic Façade Configuration for Air Velocity and Indoor Air Temperature in a Naturally-Ventilated Hotel Guestroom in the Hot and Humid Climate,Journal of Advanced Research in Fluid Mechanics and Thermal Sciences,Article,origami-deployable,unclear,multiple,include,
2-s2.0-105007906071,10.21608/jesaun.2025.360974.1428,"From Stasis to Motion: Enhancing Environmental Performance through Dynamic Architecture Techniques A Reimagining of Traditional MashRabiya in Contemporary Case Study Design Commercial Building Design in Egypt (Mokattam area, Cairo)",Journal of Engineering Sciences,Article,unclear,case-study,multiple,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-105012357418,10.1145/3734921.3734943,Research on Enhancing the Generalization Ability of Generative AI Based on K-means Clustering Algorithm: Text-to-Image Task for Wind-Responsive Passive Building Facade,Proceedings of 2025 International Conference on Generative Artificial Intelligence and Digital Media Gadm 2025,Conference Paper,unclear,unclear,daylight,include,
2-s2.0-105006665733,10.1016/j.scs.2025.106484,Tabular prior-data fitted network for urban air temperature inference and high temperature risk assessment,Sustainable Cities and Society,Article,mechanical,experiment,energy,include,
2-s2.0-105009000892,10.3390/buildings15122072,Adaptive Façades for High-Rise Residential Buildings: A Qualitative Analysis of the Design Parameters and Methods,Buildings,Article,unclear,simulation,multiple,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85218080379,10.15627/jd.2025.5,Designing Adaptability Strategy to a Novel Kinetic Adaptive Façade (NKAF); Toward a Pioneering Method in Dynamic-objects Daylight Simulation (Post-Processing),Journal of Daylighting,Article,unclear,simulation,daylight,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-105007750748,10.3390/buildings15111853,Computational Evaluation of a Biomimetic Kinetic Façade Inspired by the Venus Flytrap for Daylight and Glare Performance,Buildings,Article,unclear,simulation,multiple,include,
2-s2.0-105007747655,10.3390/buildings15111961,Energy-Saving Performance and Optimization Study of Adaptive Shading System—A Case Study,Buildings,Article,mechanical,experiment,energy,include,
2-s2.0-105007669014,10.3390/en18112682,A Simplified Model Validation for the Energy Assessment of Opaque Adaptive Façades with Variable Thermal Resistance,Energies,Article,unclear,simulation,energy,include,
2-s2.0-85217251600,10.15627/jd.2025.1,Daylight Optimization of the South-Faced Architecture Classrooms Using Biomimicry-Based Kinetic Facade Shading System,Journal of Daylighting,Article,unclear,simulation,daylight,include,
2-s2.0-105001272856,10.1016/j.egyr.2025.03.021,Kinetic facades as a solution for educational buildings: A multi-objective optimization simulation-based study,Energy Reports,Article,unclear,simulation,multiple,include,
2-s2.0-105018813599,10.1007/s44150-025-00156-0,Numerical analysis of perforated bending-active plates integrated in unitized curtain wall,Architecture Structures and Construction,Article,origami-deployable,simulation,energy,include,
2-s2.0-105009088452,10.3390/buildings15122100,Development of a Solar-Tracking Movable Louver with a PV Module for Building Energy Reduction,Buildings,Article,mechanical,unclear,multiple,include,
2-s2.0-105012978506,10.18280/ijdne.200608,Biomimetic Strategies in Kinetic Architecture: A Comparative Analysis of Nature-Inspired Roof and Façade Designs,International Journal of Design and Nature and Ecodynamics,Article,unclear,simulation,none,include,
2-s2.0-105004260509,10.1016/j.egyr.2025.04.064,On the use of dynamic film to improve the thermal and solar performance of multiple glazing units. Preliminary testing and assessment,Energy Reports,Article,unclear,experiment,multiple,include,
2-s2.0-105001330352,10.1016/j.enbuild.2025.115594,Prescriptive tool for zero-emissions building fenestration design using hybrid metaheuristic algorithms,Energy and Buildings,Article,unclear,experiment,multiple,include,
2-s2.0-105008570209,10.18280/ijsdp.200507,Parametric Analysis of Daylight and Solar Energy Performance of Oasis Building Environments Through Kinetic Shading Devices Integrated with a Photovoltaic System,International Journal of Sustainable Development and Planning,Article,unclear,simulation,multiple,include,
2-s2.0-105005752559,10.1145/3706598.3714064,Manifesting Architectural Subspaces with Two Mobile Robotic Partitions to Facilitate Spontaneous Office Meetings,Conference on Human Factors in Computing Systems Proceedings,Conference Paper,unclear,unclear,daylight,include,
2-s2.0-85204870157,10.1016/j.foar.2024.08.002,A systematic method of generating hinged tessellations by adding hinged plates based on dual graphs,Frontiers of Architectural Research,Article,origami-deployable,unclear,none,include,
2-s2.0-105003462090,10.3390/designs9020031,Delta IXI: Deployable Structure with Flax Fibre Pultruded Profiles for Architectural Applications—Case Studies in Furniture and Adaptive Facade Systems,Designs,Article,origami-deployable,case-study,daylight,include,
2-s2.0-85217063442,10.1016/j.enbuild.2025.115431,Fully exploiting solar energy with building envelops: Experimental study on an adjustable photovoltaic green facade,Energy and Buildings,Article,unclear,experiment,multiple,include,
2-s2.0-85212953481,10.1016/j.jobe.2024.111645,Investigations for the daylighting performance of trapezoid profile shadings using multi-objective optimization,Journal of Building Engineering,Article,mechanical,simulation,multiple,include,
2-s2.0-86000763996,10.35378/gujs.1433809,"Multi-Objective Optimization of a Folding Kinetic Facade System Proposal for Thermal, Daylight, and Energy Performances",Gazi University Journal of Science,Article,origami-deployable,simulation,multiple,include,
2-s2.0-85217028059,10.13189/cea.2025.130204,A Multi-objective Optimization for Passive Adaptive Envelope Integrating Smart Materials,Civil Engineering and Architecture,Article,material-driven,experiment,multiple,include,
2-s2.0-85212415840,10.1061/jaeied.aeeng-1705,Utilizing Kinematic Models of Kinetic Facades to Obtain Optimal Natural Lighting in an Office Building,Journal of Architectural Engineering,Article,unclear,simulation,daylight,include,
2-s2.0-105001090112,10.1177/01436244241306595,A comparison between the impact of dynamic envelope control strategies on the buildings’ smart readiness indicator and modelled performance,Building Services Engineering Research and Technology,Article,unclear,simulation,energy,include,
2-s2.0-105003105190,10.1007/s11012-024-01802-5,Hybrid origami-linkage vaulted deployable structures: parametric development and form-finding,Meccanica,Article,origami-deployable,simulation,daylight,include,
2-s2.0-105000761001,10.1063/5.0258553,Tunable foil pneu: A concept study on kinetic shading systems for climate-sensitive building envelopes,Aip Conference Proceedings,Conference Paper,pneumatic-soft,experiment,multiple,include,
2-s2.0-85209902839,10.1016/j.tws.2024.112739,Design and photothermal coupling analysis of Kresling origami-based intelligent dynamic shading system,Thin Walled Structures,Article,material-driven,experiment,multiple,include,
2-s2.0-85218903133,10.3390/urbansci9020030,“Build It and They Will Stay”: Assessing the Social Impact of Self-Build Practices in Urban Regeneration,Urban Science,Article,unclear,unclear,multiple,include,
2-s2.0-105011310369,10.62754/ais.v6i1.103,Enhancing building energy system design using computational intelligence for smart buildings,Architecture Image Studies,Article,unclear,simulation,multiple,include,
2-s2.0-85218120115,10.48619/ais.v6i1.1087,Enhancing building energy system design using computational intelligence for smart buildings,Architecture Image Studies,Article,unclear,simulation,multiple,include,
2-s2.0-105023055856,10.1007/978-981-96-8769-5_10,Adaptive Façades for High-Rise Residential Buildings: A Qualitative Analysis of the Design Parameters and Methods,Lecture Notes in Civil Engineering,Conference Paper,origami-deployable,unclear,energy,include,
2-s2.0-85214263895,10.1080/17508975.2024.2448524,Proposal for a kinetic façade system based on curved line folding technique,Intelligent Buildings International,Article,origami-deployable,simulation,multiple,include,
2-s2.0-105035258792,10.26868/25222708.2025.1749,Thermo-Bimetal Responsive Building Skins: Comparative Analysis of Self-Actuated Geometric Patterning and User Override on Daylight and Energy Efficiency,Building Simulation Conference Proceedings,Conference Paper,material-driven,simulation,multiple,include,
2-s2.0-105014739375,10.1088/1742-6596/3071/1/012016,Designing buildings with potential for Artificial Intelligence integration: a conceptual study on adaptive façades,Journal of Physics Conference Series,Conference Paper,unclear,simulation,energy,include,
2-s2.0-85216662439,10.55214/25768484.v9i1.4251,Advancing adaptive facades for a sustainable future in building design,Edelweiss Applied Science and Technology,Article,material-driven,unclear,multiple,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-105020779547,10.1007/978-3-032-06993-1_5,Designing Adaptive Shading Components for 4D Printing,Lecture Notes in Civil Engineering,Conference Paper,material-driven,simulation,energy,include,
2-s2.0-105019198767,10.37575/b/eng/250018,Building Energy Performance Assessment Based on a Bio-Inspired Kinetic Shading Devices,Scientific Journal of King Faisal University Basic and Applied Sciences,Article,material-driven,simulation,energy,include,
2-s2.0-105010578532,10.1007/978-981-96-3804-8_7,Dynamic Shading Device Design with Computational Building Information Modelling for High-Rise Office Building in Tropical Climate,Lecture Notes in Civil Engineering,Conference Paper,mechanical,simulation,daylight,include,
2-s2.0-105026139531,10.52842/conf.ecaade.2025.1.421,Adaptive Façades for Activity-Specific Well-Being: Exploring emotional responses with virtual reality and machine learning,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,unclear,experiment,none,include,
2-s2.0-105021829003,10.1007/978-3-032-06978-8_5,Experimental Investigation of Wood’s Hygroscopic Behavior for Adaptive Shading Systems in Building Façades,Lecture Notes in Civil Engineering,Conference Paper,material-driven,experiment,multiple,include,
2-s2.0-105017583949,10.1007/978-981-96-3433-0_12,Hygroflex: A Prototype of a Water-Responsive Facade System with an Innovative Integration of Timber and Biopolymer,Computational Design and Robotic Fabrication,Book Chapter,unclear,experiment,none,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-105016498349,10.12732/ijam.v38i1s.12,SIMULATION-BASED INVESTIGATION OF ETFE AND AUTOHEAL POLYMERS FOR ENERGY EFFICIENCY AND THERMAL COMFORT IN ADAPTIVE BUILDING ENVELOPES,International Journal of Applied Mathematics,Article,material-driven,simulation,multiple,include,
2-s2.0-105018678599,10.1108/sasbe-07-2025-0388,An integrated generative-analytic framework for the performance-driven design of kinetic façades,Smart and Sustainable Built Environment,Article,unclear,simulation,multiple,include,
2-s2.0-105012552090,10.1080/23744731.2025.2534771,Biomimetic approach for beams-redirected adaptive facade with emphasis on user position and the clustered synthesis,Science and Technology for the Built Environment,Article,mechanical,simulation,multiple,include,
2-s2.0-105027940427,10.1088/1742-6596/3140/5/052003,Performance-driven Shape Memory-based kinetic solar shading design,Journal of Physics Conference Series,Conference Paper,material-driven,prototype,multiple,include,
2-s2.0-105034749056,10.65388/jdfd5647,A conceptual application of 4D-printed (4DP) bistable unit cells for climate-responsive façades systems,Proceedings of the International Conference of Architectural Science Association,Conference Paper,compliant,unclear,multiple,include,
2-s2.0-105027936111,10.1088/1742-6596/3140/19/082009,Design of adaptive shading device with rigid origami technique: improving outdoor thermal comfort on pathways of university campus,Journal of Physics Conference Series,Conference Paper,origami-deployable,simulation,comfort,include,
2-s2.0-105026170058,10.52842/conf.ecaade.2025.1.211,Developing Machine Learning Models to Predict Outdoor Thermal Comfort of Kinetic Shading Devices: An approach for global optimization,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,origami-deployable,simulation,comfort,include,
2-s2.0-86000372255,10.1080/19401493.2024.2432915,LiDICS: a light dynamics interface for multi-domain simulation based on the FMI-standard,Journal of Building Performance Simulation,Article,pneumatic-soft,prototype,multiple,include,
2-s2.0-85209914920,10.1007/978-3-031-71867-0_6,Methodology for Designing Adaptive Facade Components: Smart Materials and 4D Printing for Resilient Construction,Lecture Notes in Civil Engineering,Conference Paper,material-driven,experiment,none,include,
2-s2.0-105029253996,10.52842/conf.ecaade.2025.2.285,"Bio-inspired Climate-responsive Wood Composite Architectural Facade Actuator: Architectural research based on the asclepias syriaca, mimosa pudica, and mandevilla plants as biological role models",Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,unclear,prototype,energy,include,
2-s2.0-85209555632,10.1016/j.enbuild.2024.115072,Optimizing the tilt angle of kinetic photovoltaic shading devices considering energy consumption and power Generation— Hong Kong case,Energy and Buildings,Article,mechanical,simulation,energy,include,
2-s2.0-105029224408,10.52842/conf.ecaade.2025.2.445,Smart Hinges Using Shape Memory Alloys for Architectural Applications,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,material-driven,unclear,energy,include,
2-s2.0-105023682057,10.1080/17452759.2025.2591322,Rice husk 4D printing in architecture: hygromorphic bi-directional self-shaping building skin,Virtual and Physical Prototyping,Article,material-driven,unclear,none,include,
2-s2.0-105027939394,10.1088/1742-6596/3140/10/102004,Field assessment of visual performance of a dynamic dual glazing assembly for occupants with lateral incident light,Journal of Physics Conference Series,Conference Paper,origami-deployable,experiment,daylight,include,
2-s2.0-105023438458,10.52842/conf.caadria.2025.2.449,Programming Bilayer Structures in 4D-printed Hygromorphs by Tailoring Porosity in Macroscale,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia,Conference Paper,material-driven,experiment,energy,include,
2-s2.0-105014513235,10.13124/9788860462022_22,Automating Solar Shading Control in Residential Buildings Located in a Temperate Climate: A Household-Specific Decision,Building Simulation Applications,Conference Paper,unclear,simulation,multiple,include,
2-s2.0-105015460519,10.1109/ssi65953.2025.11107200,Adaptive Energy-Harvesting Façades: A Multi-Technology Approach for Optimizing Indoor Comfort and Sustainability,2025 Smart Systems Integration Conference and Exhibition Ssi 2025,Conference Paper,unclear,unclear,multiple,include,
2-s2.0-85214110919,10.1007/978-981-97-8317-5_49,Daylight and Energy Performance Relationship of Classrooms and Office Spaces: Comparative Study of Istanbul Ticaret University Kucukyali Campus Building,Lecture Notes in Civil Engineering,Conference Paper,unclear,simulation,multiple,include,
2-s2.0-85209540197,10.1007/978-3-031-71863-2_22,Self-Sufficient and Responsive Textile Component,Lecture Notes in Civil Engineering,Conference Paper,unclear,unclear,energy,include,
2-s2.0-105027912674,10.26830/symmetry_2025_4_397,FOLDING THE RULE: BEHAVIOR OF TOPOLOGICAL SCALE DISRUPTIONS IN SYMMETRIC YOSHIMURA PATTERNS,Symmetry Culture and Science,Article,origami-deployable,prototype,none,include,
2-s2.0-85210657291,10.1016/j.conbuildmat.2024.139147,Multiaxial characterisation and nonlinear thermoviscoelastic isotropic and orthotropic constitutive models of ETFE membranes,Construction and Building Materials,Article,pneumatic-soft,experiment,none,include,
2-s2.0-85217211102,10.1145/3680528.3687657,FaçAID: A Transformer Model for Neuro-Symbolic Facade Reconstruction,Proceedings SIGGRAPH Asia 2024 Conference Papers SA 2024,Conference Paper,unclear,unclear,none,include,
2-s2.0-85210503469,10.1038/s41467-024-54808-8,Weather-responsive adaptive shading through biobased and bioinspired hygromorphic 4D-printing,Nature Communications,Article,material-driven,unclear,energy,include,
2-s2.0-85211184888,10.1016/j.jobe.2024.111472,Adaptive facades for emotionally enriching indoor environments,Journal of Building Engineering,Article,unclear,experiment,daylight,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85213353712,10.1088/1361-665x/ad9446,Solar-powered thermo-pneumatic actuators for passively controlled adaptive shading,Smart Materials and Structures,Article,pneumatic-soft,prototype,multiple,include,
