eid,title,bucket,new_decision,reason_category
2-s2.0-85215760274,Sustainable Design: Minimizing Discomfort Glare Through Data-Driven Methods for Responsive Facades,static_other,exclude,facade_no_movement
2-s2.0-105033349571,IMPACT OF ADAPTIVE BIOMIMETIC BUILDING SKINS ON INDOOR THERMAL COMFORT: A COMPUTATIONAL EVALUATION,static_other,exclude,facade_no_movement
2-s2.0-105010688671,AI-DRIVEN PARAMETRIC FACADE DESIGN FOR ADAPTIVE ARCHITECTURAL PERFORMANCE,static_other,exclude,facade_no_movement
2-s2.0-105035257839,Evaluating the Energy Performance of Climate-Adaptive Building Envelopes Using Shading Mask Map,static_other,exclude,facade_no_movement
2-s2.0-105023482070,A Workflow for Implementing Reinforcement Learning Incorporating Occupant Preference in Climate-Adaptive Facade Control,control_of_static,exclude,facade_no_movement
2-s2.0-85213006579,Dynamic Façade System for Building Retrofitting: A Numerical Study on a Tertiary Building in Italy,dsf_static,exclude,facade_no_movement
2-s2.0-85213021333,How Adaptive Façade Can Contribute to Energy Saving in Tall Buildings?,movable_possible->insufficient_info,exclude,insufficient_info
2-s2.0-85213043511,Impact of Dynamic Façades on Smart Readiness Indicator and User Satisfaction,control_of_static,exclude,facade_no_movement
2-s2.0-105023473343,A Data-Driven Optimization Control Framework for Adaptive Solar Façades Balancing Photovoltaic Performance and Indoor Environment,control_of_static,exclude,facade_no_movement
2-s2.0-105035257977,Deep Learning-Based Surrogate Modelling for Optimal Control of Climate-Responsive Adaptive Façade Systems,control_of_static,exclude,facade_no_movement
2-s2.0-85209542698,Decision Criteria for the Assessment of Building Retrofit Integrating Innovative Façade Solutions,static_other,exclude,facade_no_movement
2-s2.0-85217223177,Can the Building Envelope Play a Role in the Energy Transition?,movable_possible->include,include,
2-s2.0-105016892678,Adaptive MPPT Strategy for BIPV Systems Using MBGO Assisted P&O Under Dynamic Shading,static_other,exclude,facade_no_movement
2-s2.0-105007299259,A Framework for Energy and Thermal Performance Modeling in Net-Zero Urban Clusters,movable_possible->insufficient_info,exclude,insufficient_info
2-s2.0-105027204885,Numerical Analysis of Performance of Dynamic Second-Skin Façades with Photovoltaic panels integrated in a Residential Building in Southern Italy,static_other,exclude,facade_no_movement
2-s2.0-105003630660,Optimizing Dynamic Facade Performance Through Parametric Design: A Simulation-Based Strategy for Improving Daylighting and Visual Comfort in Office Building,static_other,exclude,facade_no_movement
2-s2.0-105000775312,Developing Adaptive Educational Spaces Through a Theoretical Framework Based on Modularity and Digital Design,static_other,exclude,facade_no_movement
2-s2.0-85213043877,Implementation of a Calculation Code for the Energy Modelling of Vertical Greenery Systems,static_other,exclude,facade_no_movement
2-s2.0-105016351794,Daylight Performance-Based Design Model for Bio-adaptive Building Skin for Office Space of Administrative Buildings in Egypt,static_other,exclude,facade_no_movement
2-s2.0-105022055882,Basic aspects of caring for green facades in the city of Košice,static_other,exclude,facade_no_movement
2-s2.0-85205459706,Fusing Transformer and diffusion for high-resolution prediction of daylight illuminance and glare based on sparse ceiling-mounted input,static_other,exclude,facade_no_movement
2-s2.0-105035362877,ML-Driven MPPT Optimization for Photovoltaic Systems Under Dynamic Shading Conditions,movable_possible->include,include,
2-s2.0-86000382132,"Parametric design workflow for solar, context-adaptive and reusable facades in changing urban environments",static_other,exclude,facade_no_movement
2-s2.0-105001208765,Optimizing Building Performance: A Grasshopper Modeling Case Study of the King Hussein Mosque,static_other,exclude,facade_no_movement
2-s2.0-105035254087,Assessing solar performance in advanced facades: Comparative analysis of control strategies using a dynamic key performance indicator,control_of_static,exclude,facade_no_movement
2-s2.0-105033524339,ASSESSING THE IMPACT OF HORIZONTAL RESTRAINTS ON THE SEISMIC ROCKING OF MASONRY FAÇADES INCLUDING DYNAMIC SOIL-STRUCTURE INTERACTION,static_other,exclude,facade_no_movement
2-s2.0-85213058639,Climate-Responsive Building Envelope Retrofit: Insulation Strategies in a Changing Environment,static_other,exclude,facade_no_movement
2-s2.0-105019365078,Evaluating Daylighting Performance of Parametric Mashrabiya in Mediterranean Climate: A Simulation-based Approach,static_other,exclude,facade_no_movement
2-s2.0-105024071458,Data-Driven Decision-Making Suppors Smart and Efficient Building Energy Retrofit for Meizhou Pantian Chaoke Cultural and Rural Buildings,control_of_static,exclude,facade_no_movement
2-s2.0-85212313638,Study on the application of a dynamic photovoltaic integrated light shelf for office buildings,static_other,exclude,facade_no_movement
2-s2.0-105009440994,Resilience-Oriented Asynchronous Decentralized Restoration Considering Building and E-Bus Coresponse in Electricity-Transportation Networks,static_other,exclude,facade_no_movement
2-s2.0-105032828416,Assessing Vegetation-driven Reduction in Window Solar Heat Gain using LiDAR-based Modelling,static_other,exclude,facade_no_movement
2-s2.0-105037453923,Comparative Analysis of Shading Strategies on Solar Heat Gain Through Glass for Energy-Efficient Buildings,static_other,exclude,facade_no_movement
2-s2.0-105027095148,A Study on the Optical and Thermal Performance and Energy Efficiency Analysis of a Novel Adjustable Wall-Like Window,static_other,exclude,facade_no_movement
2-s2.0-105030547976,"ISLAMIC AND SCIENTIFIC PERSPECTIVES ON SHADING COEFFICIENT, CARBON DIOXIDE CONCENTRATION REDUCTION, AND COOLING EFFECT OF PRODUCTIVE FACADE",static_other,exclude,facade_no_movement
2-s2.0-105013054451,Dynamic Agrivoltaic Shading System for Optimal Plant Shading,static_other,exclude,facade_no_movement
2-s2.0-105007032881,Building-Integrated Microalgae Photobioreactor: An Adaptive Solution to Urban Heat Island Mitigation,dsf_static,exclude,facade_no_movement
2-s2.0-105023094889,6D BIM Model-Based Sustainability Assessment of Photovoltaic Pavements Incorporating Energy Generation Estimation,static_other,exclude,facade_no_movement
2-s2.0-105019900679,"Elevating Wellness: Integrating Health, Sustainability, and Urban Vitality in Tall Building Design",static_other,exclude,facade_no_movement
2-s2.0-105024220328,Impact of Time Interval Settings on Energy Simulation Outcomes and Solar Shading Operations Using Minute-Interval Weather Data for Building Design,static_other,exclude,facade_no_movement
2-s2.0-105025454948,Finding the best shading device model to enhance visual comfort in an educational building,static_other,exclude,facade_no_movement
2-s2.0-105022788070,The Multi-Objective Optimisation for Energy Consumption and Daylight of Office Buildings in London: Meshed Façade Energy Study,static_other,exclude,facade_no_movement
2-s2.0-85204129153,"Photobioreactor facade panels: enhancing comfort, reducing energy use, and capturing carbon in temperate continental climates",static_other,exclude,facade_no_movement
2-s2.0-105004640278,A Zeta Converter-Based Improved BLDC Motor-Driven Water Pumping System for Partial Shading Environment of Solar PV,static_other,exclude,facade_no_movement
2-s2.0-105021822271,Optimization of Plastic Mesh Shading Systems for Improved Daylighting and Solar Gain Control,static_other,exclude,facade_no_movement
2-s2.0-105027213300,"Retrofitting European Office Building stock: combining principles of bio-economy and circular economy for context-based, adaptable facade solutions",static_other,exclude,facade_no_movement
2-s2.0-105027196581,Keeping cool with lower emissions: comparing internal to external blinds as solar shading devices,movable_possible->insufficient_info,exclude,insufficient_info
2-s2.0-105025897495,Empowering Occupants: Significance of Behavioral Choices in Reducing Space Cooling Demand in Europe,static_other,exclude,facade_no_movement
2-s2.0-105035259499,"Developing Early Design Stages Tools for Windows Considering Sky Conditions, Solar Radiation and Shading Control",control_of_static,exclude,facade_no_movement
2-s2.0-85218276725,Towards resilient architecture in technological innovation and AI,static_other,exclude,facade_no_movement
2-s2.0-105009507103,Parametric model development for building input variables for lighting and shading controls for different building form factors,static_other,exclude,facade_no_movement
2-s2.0-105013473853,Examining thermal comfort in open spaces in higher education settings in hot climate regions–Mosul as a case study,static_other,exclude,facade_no_movement
2-s2.0-85210016411,Intrinsic Single-Image HDR Reconstruction,static_other,exclude,facade_no_movement
2-s2.0-105021800983,An Adaptive PSO Algorithm for Robust Maximum Power Point Tracking in Photovoltaic Systems Under Rapid Irradiance Changes and Partial Shading,static_other,exclude,facade_no_movement
2-s2.0-105036943304,Efficient OBEO MPPT Controller For PV Under Dynamic and Partial Shading Conditions,control_of_static,exclude,facade_no_movement
2-s2.0-105033241070,IMPACT OF BREATHING FACADES AND BIOMIMICRY ON VENTILATION AND INDOOR AIR QUALITY,static_other,exclude,facade_no_movement
2-s2.0-105005061718,A dynamic envelope extraction method of spacecraft parameters based on fast matching search,not_facade_other,exclude,not_facade
2-s2.0-105002213128,Redefining walking: a bio-inspired kinetic architecture,movable_possible->insufficient_info,exclude,insufficient_info
