eid,title,outcome,keywords,abstract_head
2-s2.0-105023107174,A Customer-Oriented Holistic Approach to Solar Shading Design: Enhancing Efficiency in an Existing Educational Building,include,customer satisfaction; educational building; fuzzy logic; MC,"Shading system design is a complex, multi-objective optimization problem that requires balancing interdependent economic, environmental, social, energy, architectural, and daylight"
2-s2.0-105020925192,"An incremental, thermally optimised, and low-carbon shelter model for refugee housing in diverse climates",include,nan,"Temporary shelters for refugees often fall short of providing adequate living conditions, leading to significant discomfort and health issues, particularly in regions with extreme "
2-s2.0-105010013654,Application of a Dynamic Semitransparent Agrivoltaic Panel for Controlling Sunlight Allocation to Solar Cells and Crops,include,coexistence; cucumber; cultivation; photovoltaics; renewable,"Deployment of photovoltaic (PV) panels over croplands (agrivoltaics), while using limited available land, provides the potential to alleviate energy instability and food supply ins"
2-s2.0-85200678485,From theory to practice: Truchet tile as a computational visual coding approach for facade visualization,include,algorithm; parametric design; responsive façade; topology in,The study presents unique teaching approach for generating a parametric modular facade fabrication for first-year students in visual design module using a computational visual codi
2-s2.0-85214140676,Experimental study on harnessing torsion-induced buckling of frames for adaptive shading modules,insufficient_info(cue but unconfirmed),,• Innovative adaptive shading modules using torsion-induced buckling of frames. • Experimental rig tests reveal significant out-of-plane deflections in slender frames. • Critical b
2-s2.0-85213021333,How Adaptive Façade Can Contribute to Energy Saving in Tall Buildings?,insufficient_info(cue but unconfirmed),,"The façade of high-rise buildings accounts for a significant portion of the building's surface area. Utilizing an Adaptive Façade (AF), a building envelope system can reduce the to"
2-s2.0-85217223177,Can the Building Envelope Play a Role in the Energy Transition?,include,Adaptive facades; Building envelope; Double-skin facades (DS,In the past the thermal insulation of buildings was poor and the incidence of the energy losses by transmission on the overall energy balance of the built environment was high. The
2-s2.0-105007299259,A Framework for Energy and Thermal Performance Modeling in Net-Zero Urban Clusters,insufficient_info(cue but unconfirmed),,"This study presents a data-driven framework for optimizing net-zero building design by integrating urban context, building form, and façade configurations. Using parametric modelin"
2-s2.0-105035362877,ML-Driven MPPT Optimization for Photovoltaic Systems Under Dynamic Shading Conditions,include,Machine Learning (ML); Maximum Power Point Tracking (MPPT); ,"Photovoltaic (PV) systems are increasingly being deployed as a clean and sustainable energy source, but their efficiency is significantly impacted by environmental factors, particu"
2-s2.0-105027196581,Keeping cool with lower emissions: comparing internal to external blinds as solar shading devices,insufficient_info(cue but unconfirmed),,"High-performing building envelopes play a crucial role in the sustainable refurbishment of the existing buildings, especially in consideration of an increasing energy demand for co"
2-s2.0-105002213128,Redefining walking: a bio-inspired kinetic architecture,insufficient_info(cue but unconfirmed),,The concept of The Walking City demonstrated the potential of what has been termed 'walking architecture' to transcend the constraints of traditional static dwelling and organized 
2-s2.0-85205445635,Optimization Method for the Deployment Route of Generalized Scissor Linkages,include,Deployable structures; Kinetic architecture; Scissor linkage,"Scissor structures, widely used in kinetic architecture, have been researched for over six decades. However, most studies focus on the deployability of the scissor structures, ofte"
2-s2.0-85206446952,'Golden Ratio Yoshimura' for meta-stable and massively reconfigurable deployment,include,deployment; meta-stability; origami,. Yoshimura origami is a classical folding pattern that has inspired many deployable structure designs. Its applications span from space exploratio
2-s2.0-85195181008,Modeling the thermally adaptive performance of building exterior walls with linear temperature-dependent thermal conductivity,include,Building walls; Energy efficiency; Temperature-dependent the,The concept of adapting to variable external thermal environments by varying the thermophysical properties of building envelopes has gained increased attention in recent years. Thi
2-s2.0-85202470326,Integrated Dynamic Photovoltaic Facade for Enhanced Building Comfort and Energy Efficiency,insufficient_info(cue but unconfirmed),,This simulation study explores the potential of a novel façade design with integrated control system comprising a dynamic photovoltaic (PV) facade integrated with dimming lighting 
2-s2.0-85196655882,Longitudinal dynamic envelope solution and transition path optimization based on reachability analysis for fixed-wing VTOL UAVs,insufficient_info(cue but unconfirmed),,"Flight velocity and tilt angle are commonly employed to define the safe region for fixed-wing vertical take-off and landing (FW-VTOL) UAVs as they undergo tilting, referred to as t"
2-s2.0-85209787539,The development of a Modular Adaptive Facade System Based on Pre-Calculated Light Values Through Parametric Models and Real-Time Light Sensors,insufficient_info(cue but unconfirmed),,The design of exhibitions often faces limitations in utilizing natural light inside the building due to the diverse and rotating nature of exhibited artworks. These objects have va
2-s2.0-85194848236,The Adaptive Architectural Layout: How the Control of a Semi-Autonomous Mobile Robotic Partition was Shared to Mediate the Environmental Demands and Resources of an Open-Plan Ofice,insufficient_info(cue but unconfirmed),,"A typical open-plan office layout is unable to optimally host multiple collocated work activities, personal needs, and situational events, as its space exerts a range of environmen"
2-s2.0-105023670194,Performance Based Dynamic Shading Module: Exploring fold adaptive mechanisms for tropical office façades,insufficient_info(no abstract),,
2-s2.0-85211811073,Enhancement of an Adaptive Building-Skin System for Local and Remote Multi-Modal Operation,insufficient_info(cue but unconfirmed),,This paper details the enhancement of a previously presented adaptive building-skin system consisting of independent-yet-interrelated context-aware components in a Cyber-Physical N
2-s2.0-85183349906,"Sensitivity analysis of sensor placement in energy-efficient, grid-interactive ready small office buildings with dynamic shading and lighting control",insufficient_info(cue but unconfirmed),,"In smart buildings, dynamically controlled lighting and shading devices have a direct impact on occupants' thermal and visual comfort, building energy use, and peak demand. This st"
2-s2.0-85177043703,A Hybrid Deployable Vault Structure by Coupling Origami Folded Plates with a Scissors – Four Bar Linkage Frame,include,Adaptive Architecture; Computational Geometry; Deployable St,"In this paper, a novel concept of a lightweight deployable vault structure, consisting of a curved folded plate surface, paired with a retractable frame mechanism is proposed. The "
2-s2.0-85150336122,Targeting modular adaptive façade personalization in a shared office space using fuzzy logic and genetic optimization,insufficient_info(cue but unconfirmed),,"In shared office spaces, occupants' comfort criteria are limited to locally controlled zones while ambient features of the environment and the potential negative impacts of others'"
2-s2.0-85150448155,Optimal design method for photovoltaic shading devices (PVSDs) by combining geometric optimization and adaptive control model,insufficient_info(cue but unconfirmed),,"Photovoltaic shading devices (PVSDs) not only generate electricity, but also control the solar radiation that passes through, thus enhancing the energy performance of the building."
2-s2.0-85150033000,Significance of dynamic over static solar screens on thermal perception in perimeter offices under different sky conditions,insufficient_info(cue but unconfirmed),,"In this work, the researchers carried out a comparative analysis of the impact of static-fixed and dynamic-operable screens on the indoor environment, thermal perception, and task "
2-s2.0-85179517009,Application of ISO/DIS 52016-3 for Dynamic Shadings in an Office Building,insufficient_info(cue but unconfirmed),,"Adaptive building envelope technologies can improve buildings' energy efficiency while maintaining a comfortable indoor environment. However, with the growing trend of developing n"
2-s2.0-85197184816,OPTIMISING THE CONTROL STRATEGIES FOR PERFORMANCEDRIVEN DYNAMIC BUILDING FACADES USING MACHINE LEARNING,include,Computational Simulation; Dynamic Façade; Energy Consumption,The balance between energy consumption and indoor environmental comfort is a continuing research topic in building energy efficiency. The dynamic faÃ§ades (DF) are considered a pra
2-s2.0-85180158871,Sequentially coupling LBNL-method and Modelica to model and operate adaptive facades with inhomogeneous printing patterns,insufficient_info(cue but unconfirmed),,"In this work, two U- and g-value Modelica models of a three-layer membrane construction with inhomogeneous stripe pattern were set up. Thus, a simple ISO 52022 model is compared wi"
2-s2.0-85178999167,3D Printing and Shape Memory Alloys,insufficient_info(no abstract),,
2-s2.0-85142533892,Morphology of kinetic asymptotic grids,insufficient_info(cue but unconfirmed),,This paper investigates the kinetic behaviour of asymptotic lamella grids with variable surface topology. The research is situated in the field of semi-compliant grid mechanisms. N
2-s2.0-85133288515,Phenotype Variability Mimicking as a Process for the Test and Optimization of Dynamic Facade Systems,include,artificial intelligence; artificial neural networks; complex,A genetic algorithm and an artificial neural network are deployed for the design of a dynamic multi-layered façade system that adapts in real-time to different weather and occupant
2-s2.0-85133165347,A Novel Framework for Optimizing Indoor Illuminance and Discovering Association of Involved Variables,include,data-driven design; facade optimization; responsive facades;,"The associations between various design variables affecting the visual performance of responsive facade systems are investigated in this study. First, we propose a data-driven appr"
2-s2.0-85128025432,Integration and Verification of PLUG-N-HARVEST ICT Platform for Intelligent Management of Buildings,include,adaptable dynamic façade microgrids; artificial intelligence,"THe energy-efficient operation of microgrids—a localized grouping of consuming loads (domestic appliances, EVs, etc.) with distributed energy sources such as solar photovoltaic pan"
2-s2.0-85123181369,Dynamic façades – An exploratory campaign to assess occupant multi-domain environmental satisfaction and façade interaction,insufficient_info(cue but unconfirmed),,"Building occupants interact frequently with façades. These interactions simultaneously affect several domains of the indoor environment (visual, thermal, air quality and acoustic) "
2-s2.0-85101859685,A data-driven optimized daylight pattern for responsive facades design,include,Building optimization; data-driven building design; Modern a,"This study presents a data-driven approach for investigating practical aspects of responsive facades illuminance optimization. In this approach, the hourly indoor illuminance data "
2-s2.0-85161152137,Thermally Responsive Building Envelopes from Materials to Engineering,insufficient_info(cue but unconfirmed),,"As the interface mediates between the interior space and outdoor environment, building envelope plays a crucial role in determining building systems' energy efficiency as well as s"
2-s2.0-85124269240,Advanced control strategy to maximize view and control discomforting glare: a complex adaptive façade,insufficient_info(cue but unconfirmed),,Increasing demands for full-glazed façades have motivated designers/researchers to propose advanced control strategies for dynamic shading systems to mitigate the negative impacts 
2-s2.0-85176505484,Implementation and Calibration of a Model to Treat Naturally Ventilated Complex Fenestration Systems in TRNSYS,include,nan,Adaptive façade systems offer the opportunity to improve the building performance and user experience with their ability to adapt the façade configuration to the dynamic variabilit
2-s2.0-85161151770,Material Driven Adaptive Design Model for Environmentally-Responsive Envelopes,include,Environmentally responsive architecture; Material driven ada,This chapter discusses material-driven adaptive design (MDAD) as an emerging interdisciplinary in material science and design disciplines. The authors define MDAD as a design syste
2-s2.0-85109390454,"A dynamic vertical shading optimisation to improve view, visual comfort and operational energy",insufficient_info(cue but unconfirmed),,Purpose The aim of this paper is to present a parametric design method to generate optimum adaptive facades regarding occupants' comfort and building energy criteria. According to 
2-s2.0-85104604035,Folded surface elements coupled with planar scissor linkages: A novel hybrid type of deployable structures,include,folding mechanisms; geometry; kinetic architecture; mechanis,"Origami folding structures can find significant applications in the general area of building design, as they can be lightweight and deployable. An inherent property of folded surfa"
2-s2.0-85086162735,Innovative control approaches to assess energy implications of adaptive facades based on simulation using EnergyPlus,include,Adaptive facades; Energy consumption; EnergyPlus; Shade fact,"The current development of shading systems which respond to both environmental and human inputs; leads to envisioning an envelope that is multifunctional, responsive and dynamic, n"
2-s2.0-85081971163,Influence of two motion types on solar transmittance and daylight performance of dynamic façades,include,Daylighting; Design optimisation; Dynamic façade; Energy con,"Recently, architectural designs with dynamic facades have been introduced as a strategy for improving building environmental performance. Currently, such as those capable of rotati"
2-s2.0-85080077231,Energy savings and daylighting evaluation of dynamic venetian blinds and lighting through full-scale experimental testing,insufficient_info(cue but unconfirmed),,Commercial buildings consume around 20% of the total energy utilized in the U.S. The use of shading devices in buildings has the potential to reduce building energy consumption whi
2-s2.0-85076591468,Economic model predictive control of space heating and dynamic solar shading,include,Black box modelling; Mixed-integer linear program; Optimal c,Dynamic solar shading devices are an effective mean to avoid overheating in buildings due to excessive solar heat gains. They can also be used to affect the heat balance of buildin
2-s2.0-85091330349,Hygro-compliant: Responsive architecture with passively actuated compliant mechanisms,insufficient_info(cue but unconfirmed),,Research investigating water-driven passive actuation demonstrates the potential to transform how buildings interact with their environment while avoiding the complications of conv
2-s2.0-85077167867,Development of a hybrid behavioural and thermal adaptive building envelope,insufficient_info(cue but unconfirmed),,"This study focuses on the design of behavioural mechanisms for a hybrid informed adaptive envelope. Based on a full-scale experimental demonstrator, including a material responsive"
2-s2.0-85072753526,Evaluation of climate-based daylighting techniques for complex fenestration and shading systems,insufficient_info(cue but unconfirmed),,The latest advancements in glazing technology are driving facade design towards complex and adaptive fenestration systems. Accurate simulation of their optical properties and opera
2-s2.0-85068889316,Thermally responsive coating on building heating and cooling energy efficiency and indoor comfort improvement,include,Building energy saving; Dynamic simulation; Optics Variable ,Optic-Variable Wall (OVW) using thermally responsive coating on the façades of high-rise residential buildings is assessed by dynamic simulation. Evaluation criteria are energy con
2-s2.0-85074473636,A simulation study on the performance of double skin facąde through experimental design methods and analysis of variance,insufficient_info(cue but unconfirmed),,Systematic studies of the thermal fluid dynamic behaviour of building envelope systems through experiment analyses is limited by the relevant amount of time and high costs necessar
2-s2.0-85062466985,Determination of the flight dynamic envelope via stable manifold,insufficient_info(cue but unconfirmed),,"The flight envelope plays an important role in flight safety. The concept of posing the flight envelope as a region of attraction is explored further, and it is investigated whethe"
2-s2.0-85089026111,Responsive complex surfaces manufacturing using origami,include,Applied Geometry; complex surface manufacture; Origami; resp,"Contemporary architecture is considered a dynamic system, capable of adapting to different needs, from environmental to functional ones. The term `Adaptable Architecture' describes"
2-s2.0-85047517360,"Prototyping a façade-mounted, dynamic, dual-axis daylight redirection system",insufficient_info(cue but unconfirmed),,Various emerging technologies encourage the embedding of intelligent and climate responsive behaviour into architectural elements. Light-shelves have been used for decades to enhan
2-s2.0-85071365967,Snapping Facades: Exploring Elastic Instability for the Building Envelope,insufficient_info(cue but unconfirmed),,This article presents an alternative dynamic facade actuation mechanism utilizing the deformation of snapping instability without continuous force application. Based on analytical 
2-s2.0-85056076637,Modulating natural ventilation to enhance resilience through modifying nozzle profiles: Exploring rapid prototyping through 3D-printing,include,nan,"The study aimed to develop and test an environmentally friendly, easily deployable, and affordable solution for socio-economically challenged populations of the world. 3D-printing "
2-s2.0-85049954445,Shading and electric performance of a prototype greenhouse blind system based on semi-transparent photovoltaic technology,insufficient_info(cue but unconfirmed),,"Photovoltaic (PV) energy is emerging in the greenhouse industry to compensate energy demands for cultivation. Because both crops and PVs need sunlight, their compatibility on the s"
2-s2.0-85032392500,An autonomous shading system based on coupled wood bilayer elements,include,Autonomous movement; CABS-building envelope; Coupling of ele,"Climate Adaptive Building Shells can help to reach the aimed and required global reduction of energy consumption in the building sector. By being implemented as, e.g., façade shadi"
2-s2.0-85033597030,Daylight and thermal harvesting performance evaluation of a liquid filled prismatic façade using the Radiance five-phase method and EnergyPlus,insufficient_info(cue but unconfirmed),,A dynamic liquid filled prismatic louver (LFPL) façade is evaluated both as a daylight redirecting and an energy harvesting system. The LFPL performs daylight redirection due to it
2-s2.0-85034241425,Retrofits for energy efficient office buildings: Integration of optimized photovoltaics in the form of responsive shading devices,insufficient_info(cue but unconfirmed),,This study presents a retrofit strategy: integrating optimized photovoltaics (PV) in the form of responsive shading devices using a dual-axis solar tracking system. A prototype-bas
2-s2.0-84978473795,A proposal for a convertible stadium roof structure derived from Watt-I linkage,insufficient_info(cue but unconfirmed),,"In this paper, a novel convertible stadium roof structure is introduced, which has been derived from a special geometric configuration of Watt-I linkage, a 1-DoF mechanism used in "
2-s2.0-85018592600,Interactive architecture: Exploring and unwrapping the potentials of organic user interfaces,insufficient_info(cue but unconfirmed),,"Organic User Interfaces (OUIs) are flexible, actuated interfaces characterized by being aesthetically pleasing, intuitively manipulated and ubiquitously embedded in our daily life."
2-s2.0-85033366955,Experimental and Numerical Analysis of Modelling of Solar Shading,insufficient_info(cue but unconfirmed),,"The use of solar shading in future low energy office buildings is essential for minimizing energy consumption for building services, while maintaining thermal conditions. Implement"
2-s2.0-85006707436,Sustainable building design based on building information modeling (BIM),insufficient_info(cue but unconfirmed),,Building envelope plays a substantial role in the energy flows of the building. Pertinent selection of the façade can help in reducing the total energy demand of the building. This
2-s2.0-84973526839,Adaptive decorative building skin,insufficient_info(cue but unconfirmed),,"Traditional decorative ornaments were commonly used on the building skin of traditional architecture. Nowadays in urban areas, those ornaments become less popular for they are cons"
2-s2.0-84992397202,Performance Analyses of the D'aDif Pavilion,insufficient_info(cue but unconfirmed),,"All over the world, during the past as well as today, different kinds of buildings in different climate zones use the envelope, and in particular way the cover, to operate on the i"
2-s2.0-84962553287,Lighting and energy performance of an adaptive shading and daylighting system for arid climates,insufficient_info(cue but unconfirmed),,"Finding the proper trade-off between blocking direct sunlight, ensuring sufficient indoor daylighting and view out is a particularly delicate task especially in arid climates, due "
2-s2.0-84936869055,Polar method to design foldable plate structures,insufficient_info(no abstract),,
2-s2.0-84951037925,Translational method for designing folded plate structures,include,Curved foldable plates; Flexible Kokotsakis meshes; Kinetic ,This paper concerns non–developable folded plate structures. It presents the translational method; a design technique that creates three-dimensional non-developable systems that ca
2-s2.0-84957877062,Dynamic Performance of the Shading-type Building-Integrated Photovoltaic Claddings,insufficient_info(cue but unconfirmed),,Application of the shading-type Building-Integrated Photovoltaic (BIPV) claddings is one of the most effective approaches for reducing energy use in buildings and making buildings 
2-s2.0-85016771258,Dynamic thermal behavior of double-skin façade and adjacent interior comfort,insufficient_info(cue but unconfirmed),,"This article shows experimental results from a model of a double-skin façade (DSF) developed in situ, on the ground floor of the Building Faculty in Brasov, part of Transylvania Un"
2-s2.0-84928232788,Kinematic design of a reconfigurable deployable canopy,include,Canopy design; Deployable structures; Kinetic architecture; ,A reconfigurable and deployable mechanism is proposed for a canopy which can also be used as a tent or a semi-open structure. The proposed single degree-of-freedom mechanism has fo
2-s2.0-84908541747,Multi-Fault detection of rolling element bearings under harsh working condition using imf-based adaptive envelope order analysis,insufficient_info(cue but unconfirmed),,"When operating under harsh condition (e.g., time-varying speed and load, large shocks), the vibration signals of rolling element bearings are always manifested as low signal noise "
2-s2.0-84907483520,The influence of shading control strategies on the visual comfort and energy demand of office buildings,insufficient_info(cue but unconfirmed),,"A lighting control strategy using daylighting is important to reduce energy consumption, and to provide occupants with visual comfort. The objective of this research is to evaluate"
2-s2.0-85030536726,Designing Resilient Buildings with Emergent Materials,include,nan,This paper looks at two distinct approaches to kinetic faÃ§ades and smart building assemblies reminiscent of designs for the Institut du Monde Arabe and for Hoberman's Simon Center
2-s2.0-84906901718,Dialectic form finding of passive and adaptive shading enclosures,insufficient_info(cue but unconfirmed),,"Form finding describes the process of finding a stable equilibrium shape for a system under a specific set of loads, for a set of boundary conditions and starting from an arbitrary"
2-s2.0-84929431279,Structural mechanization of giant observation wheels,insufficient_info(cue but unconfirmed),,"Conference paper written by John Lyle and Nicholas Christie presented at IABSE Symposium: Engineering for Progress, Nature and People, Madrid, Spain, 3-5 September 2014."
2-s2.0-84883729570,Shapes of miura mesh mechanism with mobility one,include,customized kinetic meshes; deployable; flexible meshes; fold,The Miura Ori is a mechanism composed by a polyhedral deployable surface. It has favorable qualities from engineering prospective that lead the growing interest on it. The present 
2-s2.0-84876820824,Choreographic architecture: Inscribing instructions in an auxetic based material system,include,nan,This paper presents the development of an SLS 3D-printed auxetic structure actuated to a predefined form by an embedded pneumatic network through an iterative process of feedback b
2-s2.0-84865596200,Communication between physical and virtual models in designing smart buildings,insufficient_info(cue but unconfirmed),,The aim of this paper is to propose a collaborative design environment which helps interact with virtual and physical models for the smart building design. We propose the framework
2-s2.0-84855243888,Experimental estimation of the solar properties of a switchable liquid shading system for glazed facades,insufficient_info(cue but unconfirmed),,"As solar gains often constitute a high fraction of the overall cooling and heating loads in buildings, dynamically and adaptively controlled fenestration may be an important strate"
2-s2.0-84855963275,Design of a 2-DOF 8R linkage for transformable hypar structure,include,Bennett linkage; Deployable; Hypar; Kinetic architecture; Tr,"Double curved geometries including hyperbolicparaboloids (hypars) have become a trend in contemporary architecture. However, most of the constructed architectural examples of the h"
2-s2.0-81255146361,Feedback architecture,insufficient_info(cue but unconfirmed),,"The specialist research and design unit in Aedas' London office focuses on three principal areas of research: computational design, advanced modelling and sustainable design. Chris"
2-s2.0-80052570730,Kinetic systems in architecture: New approach for environmental control systems and context-sensitive buildings,insufficient_info(cue but unconfirmed),,"Kinetic architecture is a design concept in contemporary architecture, which explores the physical transformation of a building with the objective to redefine traditional applicati"
2-s2.0-79955892373,Dynamic window daylighting systems: Electropolymeric technology for solar responsive building envelopes,insufficient_info(cue but unconfirmed),,Human health and energy problems associated with the lack of control of sunlight in contemporary buildings have necessitated research into dynamic windows for energy efficient buil
2-s2.0-77951096129,Approximation-free running SVD and its application to motion detection,insufficient_info(cue but unconfirmed),,"In different tasks such as adaptive background modelling, the Singular Value Decomposition (SVD) has to be applied in running fashion. Typically, this happens when the SVD is used "
2-s2.0-77951003787,Adaptive building skin systems: A morphogenomic framework for developing real-time interactive building skin systems,insufficient_info(cue but unconfirmed),,"Morphogenomics, a relatively new research area, deals with the intricacies of morphological informatics. It is closely linked with the term morphogenesis (from the Greek morphe? - "
2-s2.0-39649108871,"The retractable roof and movable field at University of Phoenix Stadium, Arizona",insufficient_info(cue but unconfirmed),,Key words:: long-span roofretractable roof structuressteel constructionkinetic architectureoperable pitchroof lift erection methodstrand jackingvibration
2-s2.0-84858806571,Evolving cooperative behaviour in a reflexive membrane,insufficient_info(cue but unconfirmed),,This paper describes the integration of machine intelligence into an immersive architectural sculpture that interacts dynamically with users and the environment. The system is conc
2-s2.0-0036532734,Development of a control algorithm to optimize airflow rates through variable size windows,insufficient_info(cue but unconfirmed),,"The present paper aims in investigating, in a systematic way, using both experimental and theoretical tools, the potential of natural ventilation control techniques when applied to"
2-s2.0-0032186683,Office worker response to an automated venetian blind and electric lighting system: A pilot study,insufficient_info(cue but unconfirmed),,"A prototype integrated, dynamic building envelope and lighting system designed to optimize daylight admission and solar heat gain rejection on a real-time basis in a commercial off"
2-s2.0-0032305060,Thermal and daylighting performance of an automated venetian blind and lighting system in a full-scale private office,insufficient_info(cue but unconfirmed),,"Dynamic envelope/lighting systems have the potential to optimize the perimeter zone energy balance between daylight admission and solar heat gain rejection on a real-time basis, an"
2-s2.0-0031539248,Developing a dynamic envelope/lighting control system with field measurements,insufficient_info(cue but unconfirmed),,"The feasibility of an intelligent venetian blind/lighting control system was tested in a 1:3 scale model outdoors under variable sun and sky conditions. The control algorithm, bloc"
