eid,eff_doi,title,source,doctype,abstract_status,decision,reason_category,confidence,judged_on,mechanism_family,study_type,performance_reported,one_line
2-s2.0-105035264470,10.1016/j.energy.2026.140990,"Digital twin and AI-driven smart adaptive walls for energy, comfort and carbon optimization in intelligent green buildings",Energy,Article,ok,include,,high,abstract,mechanical,simulation,multiple,facade + physical movement (adjustable louvers)
2-s2.0-105034360495,10.1016/j.buildenv.2026.114541,"Predicting emotional impact of adaptive façades through Machine Learning, A VR-based study with PAD assessment",Building and Environment,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105034627643,10.1016/j.jweia.2026.106394,Cyber-physical smart morphing facades driven by reinforcement learning for wind-induced vibration control in tall buildings,Journal of Wind Engineering and Industrial Aerodynamics,Article,ok,include,,high,abstract,mechanical,experiment,energy,facade + physical movement (morphing)
2-s2.0-105025022388,10.1016/j.egyr.2025.12.042,"Impact of microalgae-integrated windows on building performance: Energy, daylight, and carbon analysis using an innovative simulation method",Energy Reports,Article,ok,include,,high,abstract,unclear,simulation,multiple,facade + physical movement (module that adjusts)
2-s2.0-105035254581,10.1016/j.enbuild.2026.117351,Building robustness: measuring climate-responsive performance with information theory,Energy and Buildings,Article,ok,exclude,facade_no_movement,high,abstract,,,,"thermal-dynamic, no moving part (thermal mass)"
2-s2.0-105024611275,10.1016/j.sftr.2025.101599,Multi-objective optimization framework to achieve near-zero energy building in the Czech Republic for future climatic conditions,Sustainable Futures,Article,ok,include,,high,abstract,mechanical,simulation,multiple,facade + physical movement (panels with tilt)
2-s2.0-105032701225,10.15627/jd.2026.5,Sequential Multi-Objective Optimization and Post-optimization Sensitivity Analysis of Light Shelf Variables in Semi-Arid Climates,Journal of Daylighting,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105026452555,10.1016/j.egyr.2025.109017,Hourly solar irradiance estimation and building-surface solar potential assessment via remote sensing and machine learning for data-scarce mountainous regions,Energy Reports,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105031629892,10.1016/j.precisioneng.2026.02.017,Real-time monitoring of grinding wheel using a dynamic envelope model,Precision Engineering,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105035388547,10.1016/j.buildenv.2026.114479,3D façade geometry as a dual passive control in hot urban canyons: reducing street MRT and cooling loads,Building and Environment,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105035055152,10.1016/j.enbuild.2026.117393,Climate-adaptive energy performance of green facades in a composite climate,Energy and Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105039957234,10.1073/pnas.2535522123,Indoor thermoregulatory homeostasis using hydrodynamic instability,Proceedings of the National Academy of Sciences of the United States of America,Article,ok,include,,high,abstract,unclear,experiment,energy,facade + physical movement (shading systems with self-adjustment)
2-s2.0-105033708421,10.1016/j.buildenv.2026.114519,Segmented dynamic photovoltaic shading façade based on kiri-origami: Multi-objective decision-making and interpretable machine learning analysis,Building and Environment,Article,ok,include,,high,abstract,origami-deployable,simulation,multiple,facade + physical movement (origami)
2-s2.0-105037816760,10.31202/ecjse.1786255,Biomimetic Design of a Climate-Responsive Building Envelope Cell Performing Under Both Hot and Cold Weather Conditions,El Cezeri Journal of Science and Engineering,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105040080485,10.3390/en19102267,Modeling of Adaptive Shading Adjustment Behavior in Buildings and Its Impacts on Building Energy Consumption and Indoor Lighting and Thermal Environments: A Systematic Review,Energies,Review,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
2-s2.0-105036503017,10.1115/1.4071458,Artificial Intelligence-Driven Adaptive Facade Systems in High-Rise Buildings: A Study on Integrating Machine Learning With Real-Time Environmental Data to Optimize Energy Efficiency,Journal of Engineering for Sustainable Buildings and Cities,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105038219631,10.1093/jcde/qwag038,Predictive collective control of large-scale kinetic facades via graph neural networks and reinforcement learning: From simulation to physical validation,Journal of Computational Design and Engineering,Article,ok,include,,high,abstract,origami-deployable,experiment,multiple,facade + physical movement (kinetic facade)
2-s2.0-105031895975,10.1016/j.applthermaleng.2026.130448,Design development and characterization of thermotropic façade system with honeycomb construction,Applied Thermal Engineering,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105034579858,10.1016/j.renene.2026.125415,"Design, experimental testing, and numerical investigation of a ventilated semi-transparent photovoltaic facade integrated with supply-air conditioning in summer",Renewable Energy,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105032104928,10.1016/j.enbuild.2026.117258,Smart thermal energy storage system integrated into the building envelope for photovoltaic surplus management,Energy and Buildings,Article,ok,exclude,facade_no_movement,high,abstract,,,,"optical/material-state, no geometry (variable transmittance)"
2-s2.0-105037547057,10.1007/s00484-026-03207-3,Revealing walking experiences for shading based gendered perceptions of thermal comfort in a hot city,International Journal of Biometeorology,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105031172632,10.1016/j.enbuild.2026.117192,RHpT: Bioclimatic framework for passive climate-adaptive bio-façades in urban contexts,Energy and Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105038552379,10.3390/buildings16091779,Research on the Impact of Transition Space on the Optimization of Thermal Environment in Community Elderly Indoor Activity Spaces,Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105040100498,10.3390/buildings16101887,Dynamic Optimization Model for Passive Solar Shading and Its Application in Building Energy Efficiency Across Multiple,Buildings,Article,ok,exclude,facade_no_movement,high,abstract,,,,"thermal-dynamic, no moving part (latent heat; pcm; thermal mass)"
2-s2.0-105033239035,10.1016/j.buildenv.2026.114475,Surrogate model-based design optimization of modular façades under multifunctional scenarios,Building and Environment,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105031888860,10.1016/j.enbuild.2026.117222,"High-performance envelopes in the Mediterranean: Energy and comfort effects of BIPVs, shading devices, and green walls",Energy and Buildings,Review,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
2-s2.0-105031735170,10.1016/j.enconman.2026.121306,Adaptive photonic films for fenestration-integrated PV technology to enhance energy saving and thermal comfort: Concept and theoretical investigation,Energy Conversion and Management,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105030483087,10.1016/j.rser.2026.116836,"Self-adaptive radiative cooling for building envelopes: Principles, materials, applications, and perspectives",Renewable and Sustainable Energy Reviews,Review,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
2-s2.0-105034725653,10.1016/j.conbuildmat.2026.146124,Drying process in a 3D-printed multilayer wall system: An experimental and numerical analysis,Construction and Building Materials,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105040227506,10.1117/12.3090546,Smart Adaptable Multistable Building Facades,Proceedings of SPIE the International Society for Optical Engineering,Conference Paper,ok,include,,high,abstract,material-driven,experiment,energy,facade + physical movement (bistable)
2-s2.0-105029653511,10.1016/j.enbuild.2026.117104,Bio-jaali: Reimagining vernacular passive cooling screens with mycelium-based composites,Energy and Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105029647797,10.1016/j.enbuild.2026.117129,Evaluation of smart glazing properties for net positive windows in commercial buildings,Energy and Buildings,Article,ok,exclude,facade_no_movement,high,abstract,,,,"optical/material-state, no geometry (electrochrom; tint)"
2-s2.0-105024445764,10.1108/ohi-12-2024-0402,Algorithmic replication of macramé techniques: bridging analog movements with computational design,Open House International,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105037043202,10.3390/buildings16081519,The Development and Performance of a Novel Switchable Shading Device,Buildings,Article,ok,exclude,facade_no_movement,high,abstract,,,,"optical/material-state, no geometry (liquid crystal; pdlc; suspended particle)"
2-s2.0-105036811313,10.3390/buildings16081615,"Wind-Sound Synergy and Fractal Design: Intelligent, Adaptive Acoustic Façades for High-Performance, Climate-Responsive Buildings",Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105034762437,10.51461/issn.2309-3072/87.2744,Breathing architecture: Integrating nature and cities,Project Baikal,Article,ok,exclude,not_facade,high,abstract,,,,no facade context and no movement signal
2-s2.0-105033816142,10.1007/s41024-026-00802-0,BIM-BES-based energy performance simulation of library-type buildings considering cold winter/hot summer climate regime with passive strategies,Journal of Building Pathology and Rehabilitation,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105029367098,10.1016/j.enbuild.2026.117116,A Non-Invasive stacked ensemble framework with shadow correction for Cost-Effective daylight illuminance prediction in buildings,Energy and Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105032533589,10.1016/j.jobe.2026.115816,Mimosa pudica-inspired phase change-driven reversible building facades for zero-energy thermal management,Journal of Building Engineering,Article,ok,include,,high,abstract,mechanical,experiment,energy,facade + physical movement (morphing)
2-s2.0-105029256420,10.1016/j.applthermaleng.2026.129995,An experimental study on thermal effects in building integrated semi transparent double skin façades for a nearly zero energy building,Applied Thermal Engineering,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105037088748,10.3390/solar6020014,Dynamic Optimisation of Façade-Integrated Solar Cooling Elements: Adsorption Cooling Versus Photovoltaic Scenarios,Solar,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105035974577,10.3390/buildings16071449,The Impact of Material on Environmental Indicators: An LCA Analysis of 30 Variants of Pitched Roofs,Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105035560431,10.3390/en19071641,Research on an Improved Adaptive Optimization Calculation Method for Dynamic Heat Flux of Building Envelope Based on IFDM-RKF,Energies,Article,ok,exclude,facade_no_movement,high,abstract,,,,"thermal-dynamic, no moving part (heat storage)"
2-s2.0-105029086300,10.1016/j.enbuild.2026.117066,Self-Powered dynamic Façades using thermoelectric generators and phase change materials,Energy and Buildings,Article,ok,exclude,facade_no_movement,high,abstract,,,,"thermal-dynamic, no moving part (pcm; phase change material; thermal storage)"
2-s2.0-105028592145,10.1016/j.buildenv.2026.114295,From greenwashing to grounded practice: A context-specific biophilic design framework for hot arid climates,Building and Environment,Article,ok,include,,high,abstract,unclear,unclear,multiple,facade + physical movement (kinetic façade)
2-s2.0-105029407767,10.1016/j.energy.2026.140161,Improved superhydrophobic surface for new phase-change thermal diode in building thermal management,Energy,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105028922736,10.1016/j.enbuild.2026.117021,Performance optimization of parametric hexagonal façade openings for natural ventilation and cooling load reduction in high-rise buildings,Energy and Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105033364612,10.30822/arteks.v11i1.4857,Adaptive facade systems: classification proposal and bibliometric analysis developed through systematic literature review,Arteks Jurnal Teknik Arsitektur,Article,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
2-s2.0-105034324352,10.3390/su18063052,Daylight Evaluation of Static and Kinetic Horizontal Shading Systems for Sustainable Visual Comfort: Experimental Illuminance Measurements and Calibrated Simulation,Sustainability Switzerland,Article,ok,include,,high,abstract,unclear,experiment,multiple,facade + physical movement (kinetic shad)
2-s2.0-105030487037,10.1016/j.rineng.2026.109601,The FlectoLine module: Transferring glass fiber-reinforced polymer/elastomer hybrid composites to responsive architectural outdoor applications,Results in Engineering,Article,ok,include,,high,abstract,pneumatic-soft,prototype,multiple,facade + physical movement (actuated; compliant mechanism; pneumatic)
2-s2.0-105027279474,10.1016/j.enbuild.2025.116940,Integrating greenery systems and active insulation into adaptive building envelopes for enhanced sustainability and thermal resilience,Energy and Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105034142621,10.3390/biomimetics11030222,Challenging the Biomimetic Promise 2.0: Negative Spillover of Bio-Inspired Versus Sustainability Framing on Public Perceptions of Bio-Inspired Technologies,Biomimetics,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105032754558,10.3390/buildings16051048,Optimizing Thermal–Daylight Performance of South-Facing High-Rise Apartment Rooms Using Slat-Based Shading Devices in Tropical Regions,Buildings,Article,ok,include,,high,abstract,mechanical,simulation,multiple,facade + physical movement (movable; shading system with adjustable)
2-s2.0-105033891051,10.1016/j.istruc.2026.111089,Dynamic performance of façade systems during lifting and transportation in prefabricated modules,Structures,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105026129649,10.1016/j.solener.2025.114279,Optimizing building integrated photovoltaic facades: A parametric approach for enhanced energy efficiency and daylighting performance,Solar Energy,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105034355708,10.3390/architecture6010032,From Urban Heat Islands to Resilient Cities: A Conceptual Framework for Resilient and Sustainable Urban Environments,Architecture,Review,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
2-s2.0-105032665560,10.3390/su18052467,A Performance-Based Methodology for Retrofitting Buildings Guided by Visual Comfort,Sustainability Switzerland,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105032667262,10.3390/su18052379,Integrating Generative Design and Artificial Intelligence for Optimized Energy-Efficient Composite Facades in Next-Generation Smart Buildings,Sustainability Switzerland,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105021091145,10.1007/s00004-025-00848-6,"Geometric Feasibility of Kinetic Islamic Geometric Patterns: A Case Study of Ten-Point star Configurations in Five Mosques in Isfahan, Iran",Nexus Network Journal,Article,ok,include,,high,abstract,origami-deployable,case-study,none,facade + physical movement (scissor; slational or rotational)
2-s2.0-105034154479,10.3390/eng7030119,Parametric Investigation of Climate-Responsive Roof Design Strategies for Buildings in India,Eng,Article,ok,exclude,facade_no_movement,high,abstract,,,,"thermal-dynamic, no moving part (dynamic insulation)"
2-s2.0-105025476275,10.1016/j.enbuild.2025.116895,Numerical analysis of a glassed dynamic PCMs solar wall,Energy and Buildings,Article,ok,exclude,facade_no_movement,high,abstract,,,,"thermal-dynamic, no moving part (pcm; phase change material; thermal energy storage)"
2-s2.0-105025372668,10.1016/j.enbuild.2025.116861,"Optimizing building energy efficiency through microalgae façades: impact of cell density, biomass, and panel thickness on solar heat gain and light transmittance",Energy and Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105030716921,10.36922/jcau025120026,Energy savings from the shading performance of devices in highly glazed multi-story office buildings in the tropical climates of China and India,Journal of Chinese Architecture and Urbanism,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105030437657,10.1117/12.3098842,Iterative digital elevation model optimization via ray tracing and multiscale dynamic shape-from-shading reconstruction,Proceedings of SPIE the International Society for Optical Engineering,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105030025564,10.3390/app16031574,Sustainable Urban Planning for High-Rise Residential Complexes Using an Adaptive Facade System,Applied Sciences Switzerland,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105031363848,10.3390/buildings16040798,Evaluation of the Annual Power Generation Characteristics and Energy Efficiency of Sun-Tracking Photovoltaic Windows in the Hangzhou Area,Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105031493650,10.3390/buildings16040861,A Conceptual Framework for Pollution-Resilient Aluminium Façades: Introducing the Pollution Degradation Modifier (PDM),Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105031454334,10.3390/machines14020210,Control Method and Simulation of Reconfigurable Façade Cable-Driven Parallel Robots Based on Heuristic Local Rules,Machines,Article,ok,include,,high,abstract,origami-deployable,simulation,none,facade + physical movement (reconfigurable façade)
2-s2.0-105031427646,10.3390/buildings16040771,From Biomimicry to Climate-Responsive Architecture: Prioritizing Bio-Based and Bio-Inspired Strategies for Sustainable Buildings in Tropical Monsoon Climates,Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105022659001,10.1016/j.buildenv.2025.114018,Comprehensive review on the impact of building envelopes on indoor thermal comfort in office buildings: Balancing occupant comfort and energy efficiency,Building and Environment,Review,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
2-s2.0-105023821177,10.1016/j.enbuild.2025.116801,Learning personalized visual comfort: A data-driven adaptive shading control framework using artificial intelligence,Energy and Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105031380734,10.3390/su18041860,Envelope Retrofitting by Building-Integrated Agricultural Greenhouses: A Multi-Objective Form Optimisation Procedure,Sustainability Switzerland,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105024887111,10.1016/j.buildenv.2025.114051,Mitigation effects of building facade buffer zones on wind-driven rain: Insights from field measurements,Building and Environment,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105027156887,10.1016/j.jobe.2026.115230,Optimizing bio-based phase change materials in operable façade cavities to enhance cooling energy efficiency,Journal of Building Engineering,Article,ok,include,,high,abstract,origami-deployable,experiment,energy,facade + physical movement (operable façade)
2-s2.0-105021344387,10.1016/j.jvscit.2025.102015,Laser fenestration and shape memory polymer embolization of type II endoleaks,Journal of Vascular Surgery Cases Innovations and Techniques,Article,ok,include,,high,abstract,material-driven,unclear,none,facade + physical movement (shape memory)
2-s2.0-105030680123,10.1051/e3sconf/202668904010,Dynamic Thermal Adaptive Façades: A Comparative Review of Existing Taxonomies,E3s Web of Conferences,Conference Paper,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
2-s2.0-105023149306,10.1016/j.enbuild.2025.116753,Movement optimization of a movable façade using bimetal as actuators for enhanced indoor airflow,Energy and Buildings,Article,ok,include,,high,abstract,material-driven,experiment,multiple,facade + physical movement (actuator; movable)
2-s2.0-105033382870,10.37868/hsd.v8i1.1973,Effects of building façade architectural design elements on thermal comfort and energy efficiency,Heritage and Sustainable Development,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105021472577,10.1016/j.buildenv.2025.113948,Evaluating permeable pavements' impact on the thermal environment in street canyons through outdoor experiments under hot and humid background climate,Building and Environment,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105022661726,10.1016/j.buildenv.2025.114040,Assessing cooling–lighting trade-offs in a low-income Jordanian housing archetype under climate change and heat waves,Building and Environment,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105022288003,10.1016/j.buildenv.2025.113983,Effects of building shading on outdoor adaptive thermal comfort and the development of predictive models,Building and Environment,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105021081103,10.1016/j.applthermaleng.2025.128924,Thermal performance and climate applicability analysis of multiple building envelopes,Applied Thermal Engineering,Article,ok,exclude,facade_no_movement,high,abstract,,,,"thermal-dynamic, no moving part (dynamic insulation; pcm; phase change material)"
2-s2.0-105015075076,10.1002/adma.202511392,Smart Skin for Zero Energy Buildings: A Review of Thermoresponsive Spectral-Adaptive Envelopes,Advanced Materials,Review,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
2-s2.0-105027260676,10.1007/s43995-025-00272-4,Harnessing wind energy through responsive kinetic façades for sustainable building design,Journal of Umm Al Qura University for Engineering and Architecture,Article,ok,include,,high,abstract,unclear,simulation,energy,facade + physical movement (kinetic façade)
2-s2.0-105038479955,10.1007/978-3-032-10546-2_136,"Curved-Folding Biomimicry-Inspired Kinetic Facades: Integrating Composite Materials for Energy-Efficient, Motorless Adaptive Building Envelope",Lecture Notes in Civil Engineering,Conference Paper,ok,include,,high,abstract,material-driven,experiment,energy,facade + physical movement (actuator; kinetic facade; shape memory)
2-s2.0-105038570681,10.1007/978-3-032-10546-2_99,Advancing Simulation Tools: Adaptive Façades for Building Decarbonization,Lecture Notes in Civil Engineering,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105035744454,10.1007/978-981-95-1826-5_17,Dynamic Shading Device with Phase Change Materials: Optimized Performance for Resilient and Sustainable Building Stock,Lecture Notes in Civil Engineering,Conference Paper,ok,exclude,facade_no_movement,high,abstract,,,,"thermal-dynamic, no moving part (pcm; phase change material)"
2-s2.0-105035769971,10.1080/17452007.2026.2658645,"Responsive building façades: a systematic review of technologies, challenges, and future directions",Architectural Engineering and Design Management,Review,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
2-s2.0-105009429618,10.1080/14733315.2025.2524918,Performance optimization of an office building with a dynamic façade system,International Journal of Ventilation,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105037803012,10.1109/southeastcon63549.2026.11476704,Intelligent Facades: An IIoT and Digital Twin Framework for Occupancy-Aware Kinetic Envelope Control,Conference Proceedings IEEE SOUTHEASTCON,Conference Paper,ok,include,,high,abstract,origami-deployable,prototype,multiple,facade + physical movement (kinetic envelope; kinetic facade)
