eid,doi,title,year,source,doctype,oa_concepts,stage1_decision,reason_category,method,signals
2-s2.0-105034636250,10.1016/j.atech.2026.101989,"Potato cultivation in agrivoltaic systems in Northern Italy: a four-year case study on array setup, shading patterns, and yield response",2026,Smart Agricultural Technology,Article,Shading:0.913; Yield (engineering):0.656; Dry matter:0.637; Agronomy:0.618; Crop yield:0.495; Crop:0.483; Environmental science:0.435; Mathematics:0.425,exclude,ecology_agri,rule,ecology_agri:agrivoltaic
2-s2.0-105037745526,10.1016/j.energy.2026.141160,"Spatiotemporal dynamics of thermal comfort, energy consumption, and carbon emissions in climate-adaptive MPCMs used for building envelopes across 11 cities with continental climate",2026,Energy,Article,Environmental science:0.723; Climate change:0.594; Thermal:0.591; Range (aeronautics):0.591; Carbon fibers:0.533; Work (physics):0.508; Composite number:0.482; Thermal energy:0.48,uncertain,soft_motion_facade,ai,soft:adaptive; dynamic | bldg:building; envelope; thermal comfort
2-s2.0-105037738369,10.1016/j.tranpol.2026.104187,Context-sensitive safety policy for highway railway grade crossings: Evidence from fatal crash pattern analysis,2026,Transport Policy,Article,Transport engineering:0.579; Crash:0.546; Pattern analysis:0.472; Forensic engineering:0.469; Poison control:0.428; Engineering:0.404; Policy analysis:0.348; Accident analysis:0.347,exclude,transport_infra,rule,transport_infra:grade crossing; highway; railway
2-s2.0-105038742714,10.1016/j.buildenv.2026.114718,Real-time optimization of a dynamic solar PV integrated shading design with data-driven reactive control and spatial daylighting prediction,2026,Building and Environment,Article,Daylighting:0.776; Shading:0.656; Photovoltaic system:0.6; Computer science:0.478; Environmental science:0.369; Control (management):0.368; Solar energy:0.342; Building-integrated photovoltaics:0.335,uncertain,soft_motion_facade,ai,soft:dynamic | bldg:building; daylight
2-s2.0-105037445983,10.1016/j.energy.2026.141166,"Experimentally validated numerical model of adaptive envelopes with macroencapsulated PCMs under real conditions, including the effects of the capsule and indoor temperature variation",2026,Energy,Article,Variation (astronomy):0.556; Materials science:0.51; Mechanics:0.467; Environmental science:0.412; Temperature measurement:0.408; Capsule:0.4; Computer simulation:0.325; Temperature gradient:0.313,uncertain,soft_motion_facade,ai,soft:adaptive | bldg:envelope; indoor
2-s2.0-105039268083,10.1016/j.enbuild.2026.117573,Comprehensive performance prediction of a semi-transparent PV-PCM ventilated curtain wall system coupled with an air handling unit,2026,Energy and Buildings,Article,Performance prediction:0.675; Unit (ring theory):0.525; Environmental science:0.49; Automotive engineering:0.447; Marine engineering:0.424; Engineering:0.404; Energy performance:0.385; Performance improvement:0.373,exclude,thermal_static,rule,thermal:pcm
2-s2.0-105032991932,10.1016/j.susmat.2026.e01957,Bio-inspired 4D printing of earthen soil composites for structural living wall applications,2026,Sustainable Materials and Technologies,Article,Composite material:0.552; Materials science:0.521; Composite number:0.285; Geotechnical engineering:0.264; Engineering:0.246; Soil water:0.229; Finite element method:0.214; Mechanically stabilized earth:0.205,include,kinetic_facade,rule,strong:4d print | soft:bio-inspired | bldg:journal
2-s2.0-105038348691,10.1016/j.enbuild.2026.117603,Multilayer thermochromic radiative cooling smart window for building thermal regulation,2026,Energy and Buildings,Article,Materials science:0.651; Thermal:0.59; Window (computing):0.575; Thermochromism:0.548; Optoelectronics:0.492; Radiative cooling:0.48; Optics:0.442; Thermal radiation:0.42,exclude,optical_static,rule,optical:thermochrom
2-s2.0-105038814362,10.1016/j.buildenv.2026.114744,Green facades and building energy performance: a multi-climate perspective,2026,Building and Environment,Article,Architectural engineering:0.726; Perspective (graphical):0.682; Energy (signal processing):0.496; Engineering:0.495; Green building:0.495; Civil engineering:0.396; Efficient energy use:0.378; Facade:0.345,uncertain,facade_no_explicit_motion,ai,bldg:architect; building; facade
2-s2.0-105037762368,10.1016/j.applthermaleng.2026.131205,"Comprehensive evaluation of building energy load, power generation, and shading effects of vertical single-axis tracking PV louver systems",2026,Applied Thermal Engineering,Article,Louver:0.982; Shading:0.683; Tracking (education):0.654; Power (physics):0.555; Photovoltaic system:0.527; Energy (signal processing):0.521; Environmental science:0.478; Solar energy:0.435,uncertain,facade_no_explicit_motion,ai,bldg:building; louver
2-s2.0-105038761297,10.1016/j.jedc.2026.105334,Dynamic order dispersion and volatility persistence in a simple limit order book model,2026,Journal of Economic Dynamics and Control,Article,Volatility (finance):0.615; Order (exchange):0.563; Persistence (discontinuity):0.543; Econometrics:0.516; Limit (mathematics):0.493; Simple (philosophy):0.455; Order book:0.449; Statistical physics:0.422,exclude,other_nonbuilding,ai_rescreen,soft:dynamic
2-s2.0-105036328474,10.1016/j.nxener.2026.100622,Advanced LSTM-based approach for fault detection and shading pattern identification in solar photovoltaic system using the Internet of Things,2026,Next Energy,Article,Photovoltaic system:0.566; Fault detection and isolation:0.561; Computer science:0.543; Identification (biology):0.534; Fault (geology):0.41; Real-time computing:0.366; Artificial intelligence:0.35; Internet of Things:0.332,exclude,PV_electrical,rule,PV_electrical:photovoltaic
2-s2.0-105037440667,10.1016/j.enbuild.2026.117493,Climate-responsive envelope design for educational buildings: A comparative simulation study between the UK and Egypt,2026,Energy and Buildings,Article,Overheating (electricity):0.907; Building envelope:0.646; HVAC:0.614; Thermal comfort:0.602; Natural ventilation:0.557; Environmental science:0.517; Meteorology:0.5; Engineering:0.458,uncertain,soft_motion_facade,ai,soft:responsive | bldg:building; envelope; hvac
2-s2.0-105032881431,10.1016/j.conengprac.2026.106893,Observer-based robust MPC for trajectory tracking of autonomous vehicles with dynamic envelopes,2026,Control Engineering Practice,Article,Trajectory:0.743; Control theory (sociology):0.709; Computer science:0.562; Tracking (education):0.561; Control engineering:0.437; Robust control:0.341; Robustness (evolution):0.326; Model predictive control:0.326,uncertain,soft_motion_facade,ai,soft:dynamic | bldg:envelope
2-s2.0-105036251755,10.1016/j.buildenv.2026.114615,Impacts of balconies on air quality within idealized building array: CFD modelling with solar radiation,2026,Building and Environment,Article,Computational fluid dynamics:0.674; Environmental science:0.643; Meteorology:0.495; Air quality index:0.477; Radiation:0.444; Marine engineering:0.398; Quality (philosophy):0.317; Solar energy:0.306,uncertain,soft_motion_facade,ai,soft:dynamic | bldg:building
2-s2.0-105036242306,10.1016/j.energy.2026.141017,Finite element modeling and experimental study on an innovative pavement module integrated photovoltaic-piezoelectric effects,2026,Energy,Article,Finite element method:0.723; Engineering:0.454; Structural engineering:0.418; Mechanical engineering:0.386; Computer science:0.359; Mathematical model:0.264; Work (physics):0.248; Automotive engineering:0.248,exclude,PV_electrical,rule,PV_electrical:photovoltaic
2-s2.0-105035264470,10.1016/j.energy.2026.140990,"Digital twin and AI-driven smart adaptive walls for energy, comfort and carbon optimization in intelligent green buildings",2026,Energy,Article,Engineering:0.441; Carbon fibers:0.423; Computer science:0.408; Architectural engineering:0.371; Environmental science:0.347; Building automation:0.31; Renewable energy:0.293; Carbon footprint:0.291,uncertain,soft_motion_facade,ai,soft:adaptive; intelligent; smart | bldg:architect; building
2-s2.0-105034360495,10.1016/j.buildenv.2026.114541,"Predicting emotional impact of adaptive façades through Machine Learning, A VR-based study with PAD assessment",2026,Building and Environment,Article,Computer science:0.475; Artificial intelligence:0.405; Engineering:0.301; Psychology:0.294; Machine learning:0.275; Simulation:0.253; Artificial neural network:0.233; Computer vision:0.23,uncertain,soft_motion_facade,ai,soft:adaptive | bldg:façade
2-s2.0-105034627643,10.1016/j.jweia.2026.106394,Cyber-physical smart morphing facades driven by reinforcement learning for wind-induced vibration control in tall buildings,2026,Journal of Wind Engineering and Industrial Aerodynamics,Article,Morphing:0.844; Aeroelasticity:0.686; Reinforcement learning:0.62; Facade:0.556; Engineering:0.516; Adaptability:0.472; Structural engineering:0.469; Vibration:0.467,include,kinetic_facade,rule,strong:morph | soft:smart | bldg:building; facade
2-s2.0-105025022388,10.1016/j.egyr.2025.12.042,"Impact of microalgae-integrated windows on building performance: Energy, daylight, and carbon analysis using an innovative simulation method",2026,Energy Reports,Article,Glazing:0.822; Radiance:0.638; Daylight:0.575; Environmental science:0.506; Daylighting:0.493; Computer science:0.477; Thermal:0.435; Dynamic simulation:0.352,uncertain,soft_motion_facade,ai,soft:dynamic | bldg:building; daylight; glazing
2-s2.0-105035254581,10.1016/j.enbuild.2026.117351,Building robustness: measuring climate-responsive performance with information theory,2026,Energy and Buildings,Article,Computer science:0.547; Information theory:0.418; Information system:0.348; Energy (signal processing):0.313; Field (mathematics):0.305; Measure (data warehouse):0.303; Systems engineering:0.299; Engineering:0.293,uncertain,soft_motion_facade,ai,soft:responsive | bldg:building
2-s2.0-105024611275,10.1016/j.sftr.2025.101599,Multi-objective optimization framework to achieve near-zero energy building in the Czech Republic for future climatic conditions,2026,Sustainable Futures,Article,Renewable energy:0.737; Photovoltaic system:0.635; Roof:0.535; Environmental science:0.515; Climate change:0.476; Zero-energy building:0.476; Architectural engineering:0.458; Resilience (materials science):0.451,uncertain,building_generic,ai,bldg:architect; building
2-s2.0-105032701225,10.15627/jd.2026.5,Sequential Multi-Objective Optimization and Post-optimization Sensitivity Analysis of Light Shelf Variables in Semi-Arid Climates,2026,Journal of Daylighting,Article,Sensitivity (control systems):0.63; Environmental science:0.546; Meteorology:0.369; Remote sensing:0.343; Statistical analysis:0.273; Climatology:0.266; Mathematics:0.254; Variable (mathematics):0.249,uncertain,building_generic,ai,bldg:journal
2-s2.0-105026452555,10.1016/j.egyr.2025.109017,Hourly solar irradiance estimation and building-surface solar potential assessment via remote sensing and machine learning for data-scarce mountainous regions,2026,Energy Reports,Article,Remote sensing:0.711; Terrain:0.692; Environmental science:0.638; Solar irradiance:0.623; Irradiance:0.5; Random forest:0.489; Digital elevation model:0.488; Photovoltaic system:0.462,uncertain,building_generic,ai,bldg:building
2-s2.0-105038769941,10.1016/j.rico.2026.100732,Real-time validation of a partially shaded SAPV system using a sliding-inspired OCO-enhanced P&O MPPT Algorithm,2026,Results in Control and Optimization,Article,Computer science:0.624; Algorithm:0.53; Power (physics):0.334; Control theory (sociology):0.296; Algorithm design:0.295; Maximum power point tracking:0.274; Key (lock):0.264; Measure (data warehouse):0.259,exclude,PV_electrical,rule,PV_electrical:mppt
2-s2.0-105031629892,10.1016/j.precisioneng.2026.02.017,Real-time monitoring of grinding wheel using a dynamic envelope model,2026,Precision Engineering,Article,Envelope (radar):0.527; Structural engineering:0.38; Materials science:0.364; Mechanical engineering:0.359; Engineering:0.33; Work (physics):0.275; Automotive engineering:0.273; Finite element method:0.271,uncertain,soft_motion_facade,ai,soft:dynamic | bldg:envelope
2-s2.0-105035388547,10.1016/j.buildenv.2026.114479,3D façade geometry as a dual passive control in hot urban canyons: reducing street MRT and cooling loads,2026,Building and Environment,Article,Microclimate:0.711; Environmental science:0.608; Thermal:0.5; Meteorology:0.477; 3D city models:0.44; Thermography:0.421; Urban heat island:0.4; Radiative cooling:0.391,uncertain,facade_no_explicit_motion,ai,bldg:façade
2-s2.0-105035055152,10.1016/j.enbuild.2026.117393,Climate-adaptive energy performance of green facades in a composite climate,2026,Energy and Buildings,Article,Facade:0.845; Environmental science:0.796; Vegetation (pathology):0.639; Meteorology:0.528; Building envelope:0.508; Atmospheric sciences:0.469; Seasonality:0.453; Deciduous:0.403,uncertain,soft_motion_facade,ai,soft:adaptive | bldg:building; envelope; facade
2-s2.0-105039957234,10.1073/pnas.2535522123,Indoor thermoregulatory homeostasis using hydrodynamic instability,2026,Proceedings of the National Academy of Sciences of the United States of America,Article,Thermal:0.532; Instability:0.52; Environmental science:0.519; Work (physics):0.475; Shading:0.463; Thermoregulation:0.396; Fluidics:0.395; Sensitivity (control systems):0.382,uncertain,soft_motion_facade,ai,soft:dynamic | bldg:indoor
2-s2.0-105039260780,10.1021/acsami.6c04063,Durable VO2-Based Thermochromic Paint for Energy-Efficient Opaque Building Facades,2026,ACS Applied Materials and Interfaces,Article,Materials science:0.877; Opacity:0.757; Thermochromism:0.739; Composite material:0.547; Glazing:0.304; Forensic engineering:0.278; Thermal insulation:0.26; Characterization (materials science):0.222,exclude,optical_static,rule,optical:thermochrom
2-s2.0-105033708421,10.1016/j.buildenv.2026.114519,Segmented dynamic photovoltaic shading façade based on kiri-origami: Multi-objective decision-making and interpretable machine learning analysis,2026,Building and Environment,Article,Artificial intelligence:0.659; Photovoltaic system:0.617; Computer science:0.574; Shading:0.51; Machine learning:0.445; Computer vision:0.424; Pattern recognition (psychology):0.359; Support vector machine:0.317,include,kinetic_facade,rule,strong:origami | soft:dynamic | bldg:façade
2-s2.0-105033720864,10.1016/j.buildenv.2026.114495,"Behavior-informed split-pane electrochromic window control: laboratory experiment, comfort threshold extraction, and strategy validation",2026,Building and Environment,Article,Illuminance:0.832; Daylight:0.697; Daylighting:0.587; GLARE:0.565; Computer science:0.513; Simulation:0.491; Electrochromism:0.478; Real-time computing:0.434,exclude,optical_static,rule,optical:electrochrom
2-s2.0-105037816760,10.31202/ecjse.1786255,Biomimetic Design of a Climate-Responsive Building Envelope Cell Performing Under Both Hot and Cold Weather Conditions,2026,El Cezeri Journal of Science and Engineering,Article,Envelope (radar):0.776; Dynamism:0.776; Building envelope:0.65; Adaptation (eye):0.646; Solar gain:0.52; Thermal comfort:0.496; Function (biology):0.475; Architectural engineering:0.465,uncertain,soft_motion_facade,ai,soft:biomimetic; responsive | bldg:architect; building; envelope
2-s2.0-105040080485,10.3390/en19102267,Modeling of Adaptive Shading Adjustment Behavior in Buildings and Its Impacts on Building Energy Consumption and Indoor Lighting and Thermal Environments: A Systematic Review,2026,Energies,Review,Shading:0.783; Thermal comfort:0.654; Energy consumption:0.608; Computer science:0.527; Architectural engineering:0.474; Building energy simulation:0.458; Building science:0.418; Consumption (sociology):0.4,uncertain,soft_motion_facade,ai,soft:adaptive | bldg:architect; building; indoor
2-s2.0-105027935795,10.1016/j.solmat.2026.114163,Comprehensive VIPV energy yield and MPPT evaluation under realistic dynamic shading in urban environments,2026,Solar Energy Materials and Solar Cells,Article,Shading:0.788; Computer science:0.538; Energy (signal processing):0.484; Environmental science:0.473; Yield (engineering):0.462; Power (physics):0.4; Maximum power point tracking:0.394; Control theory (sociology):0.359,exclude,PV_electrical,rule,PV_electrical:mppt
2-s2.0-105036503017,10.1115/1.4071458,Artificial Intelligence-Driven Adaptive Facade Systems in High-Rise Buildings: A Study on Integrating Machine Learning With Real-Time Environmental Data to Optimize Energy Efficiency,2026,Journal of Engineering for Sustainable Buildings and Cities,Article,Efficient energy use:0.727; Boosting (machine learning):0.616; Computer science:0.6; Machine learning:0.575; Artificial intelligence:0.565; Gradient boosting:0.498; Extreme learning machine:0.478; Energy (signal processing):0.416,uncertain,soft_motion_facade,ai,soft:adaptive | bldg:building; facade
2-s2.0-105038219631,10.1093/jcde/qwag038,Predictive collective control of large-scale kinetic facades via graph neural networks and reinforcement learning: From simulation to physical validation,2026,Journal of Computational Design and Engineering,Article,Reinforcement learning:0.622; Artificial neural network:0.569; Computer science:0.525; Graph:0.521; Model predictive control:0.449; Spectator sport:0.431; Artificial intelligence:0.429; Stadium:0.394,include,kinetic_facade,rule,strong:kinetic | bldg:facade
2-s2.0-105031895975,10.1016/j.applthermaleng.2026.130448,Design development and characterization of thermotropic façade system with honeycomb construction,2026,Applied Thermal Engineering,Article,Materials science:0.653; Thermotropic crystal:0.625; Solar gain:0.585; Thermal:0.55; Daylight:0.519; Daylighting:0.506; Transmittance:0.478; Photovoltaics:0.446,uncertain,facade_no_explicit_motion,ai,bldg:construction; daylight; façade
2-s2.0-105040066374,10.3390/cimb48050521,Genome-Wide Analysis of bZIP Transcription Factors and Expression Patterns in Response to Shading Treatment in Taxus yunnanensis,2026,Current Issues in Molecular Biology,Article,Biology:0.779; Taxus:0.731; Transcription factor:0.731; Gene:0.65; Genetics:0.536; Gene expression profiling:0.524; Promoter:0.5; Candidate gene:0.492,exclude,biomed_biology,rule,biomed_biology:genome; transcription factor
2-s2.0-105028497514,10.1016/j.ecmx.2026.101604,Photovoltaic maximum power point tracking through reconfiguration and algorithm strategy: a comprehensive review,2026,Energy Conversion and Management X,Review,Photovoltaic system:0.577; Computer science:0.558; Algorithm:0.494; Control reconfiguration:0.47; Power (physics):0.464; Maximum power point tracking:0.451; Point (geometry):0.451; Tracking (education):0.401,exclude,PV_electrical,rule,PV_electrical:maximum power point; photovoltaic
2-s2.0-105034579858,10.1016/j.renene.2026.125415,"Design, experimental testing, and numerical investigation of a ventilated semi-transparent photovoltaic facade integrated with supply-air conditioning in summer",2026,Renewable Energy,Article,Facade:0.858; Photovoltaic system:0.786; Building-integrated photovoltaics:0.668; Environmental science:0.598; Automotive engineering:0.497; Air conditioning:0.496; Photovoltaics:0.491; Thermal:0.464,uncertain,facade_no_explicit_motion,ai,bldg:building; facade
2-s2.0-105032104928,10.1016/j.enbuild.2026.117258,Smart thermal energy storage system integrated into the building envelope for photovoltaic surplus management,2026,Energy and Buildings,Article,Photovoltaic system:0.686; Building envelope:0.526; Thermal energy storage:0.51; Envelope (radar):0.492; Energy storage:0.464; Environmental science:0.463; Thermal:0.452; Automotive engineering:0.443,uncertain,soft_motion_facade,ai,soft:smart | bldg:building; envelope
2-s2.0-105037547057,10.1007/s00484-026-03207-3,Revealing walking experiences for shading based gendered perceptions of thermal comfort in a hot city,2026,International Journal of Biometeorology,Article,Thermal comfort:0.667; Perception:0.591; Psychology:0.39; Shading:0.364; Computer science:0.358; Architectural engineering:0.347; Engineering:0.295; Adaptation (eye):0.28,uncertain,facade_no_explicit_motion,ai,bldg:architect; thermal comfort
2-s2.0-105031172632,10.1016/j.enbuild.2026.117192,RHpT: Bioclimatic framework for passive climate-adaptive bio-façades in urban contexts,2026,Energy and Buildings,Article,Urban heat island:0.44; Environmental science:0.43; Climate change:0.424; Heat stress:0.415; Scalability:0.388; Efficient energy use:0.369; Energy demand:0.368; Profiling (computer programming):0.366,uncertain,soft_motion_facade,ai,soft:adaptive | bldg:façade
2-s2.0-105038552379,10.3390/buildings16091779,Research on the Impact of Transition Space on the Optimization of Thermal Environment in Community Elderly Indoor Activity Spaces,2026,Buildings,Article,Overheating (electricity):0.83; Retrofitting:0.736; Thermal comfort:0.706; Environmental science:0.611; Architectural engineering:0.562; HVAC:0.463; Meteorology:0.434; Civil engineering:0.391,uncertain,building_generic,ai,bldg:architect; hvac; indoor
2-s2.0-105027941516,10.1016/j.solmat.2026.114162,Haze-engineered electrochromic WO3 smart windows for tunable solar modulation and privacy control,2026,Solar Energy Materials and Solar Cells,Article,Electrochromism:0.929; Glazing:0.753; Haze:0.621; Materials science:0.584; Optoelectronics:0.564; Fabrication:0.486; Scalability:0.428; Computer science:0.42,exclude,optical_static,rule,optical:electrochrom
2-s2.0-105040100498,10.3390/buildings16101887,Dynamic Optimization Model for Passive Solar Shading and Its Application in Building Energy Efficiency Across Multiple,2026,Buildings,Article,Shading:0.792; Sensitivity (control systems):0.698; Solar gain:0.595; Thermal:0.569; Environmental science:0.562; Thermal mass:0.526; Energy balance:0.476; Solar energy:0.417,uncertain,soft_motion_facade,ai,soft:dynamic | bldg:building; solar shading
2-s2.0-105033239035,10.1016/j.buildenv.2026.114475,Surrogate model-based design optimization of modular façades under multifunctional scenarios,2026,Building and Environment,Article,Modular design:0.825; Surrogate model:0.754; Adaptability:0.629; Computer science:0.583; Scalability:0.564; Workflow:0.461; Multi-objective optimization:0.457; Modularity (biology):0.368,uncertain,facade_no_explicit_motion,ai,bldg:façade
2-s2.0-105031888860,10.1016/j.enbuild.2026.117222,"High-performance envelopes in the Mediterranean: Energy and comfort effects of BIPVs, shading devices, and green walls",2026,Energy and Buildings,Review,Building envelope:0.751; Overheating (electricity):0.688; Modular design:0.641; Architectural engineering:0.618; Shading:0.587; Scope (computer science):0.473; Efficient energy use:0.466; Building-integrated photovoltaics:0.404,uncertain,facade_no_explicit_motion,ai,bldg:architect; building; envelope
2-s2.0-105031735170,10.1016/j.enconman.2026.121306,Adaptive photonic films for fenestration-integrated PV technology to enhance energy saving and thermal comfort: Concept and theoretical investigation,2026,Energy Conversion and Management,Article,Emissivity:0.635; Photovoltaic system:0.63; Retrofitting:0.606; Materials science:0.579; Thermal:0.556; Thermal insulation:0.545; Overheating (electricity):0.539; Electricity:0.536,uncertain,soft_motion_facade,ai,soft:adaptive | bldg:fenestration; thermal comfort
2-s2.0-105030483087,10.1016/j.rser.2026.116836,"Self-adaptive radiative cooling for building envelopes: Principles, materials, applications, and perspectives",2026,Renewable and Sustainable Energy Reviews,Review,Radiative cooling:0.67; Context (archaeology):0.63; Emissivity:0.619; Radiative transfer:0.549; Scope (computer science):0.503; Building automation:0.431; Computer science:0.419; Architectural engineering:0.398,uncertain,soft_motion_facade,ai,soft:adaptive | bldg:architect; building; envelope
2-s2.0-105040050308,10.3390/en19102376,Analysis of Light Environment and Energy Performance of Smart Farms with Thermochromic Window Application,2026,Energies,Article,Glazing:0.896; Cooling load:0.625; Thermochromism:0.604; Microclimate:0.596; Illuminance:0.563; Noon:0.56; Materials science:0.552; Environmental science:0.52,exclude,optical_static,rule,optical:thermochrom
2-s2.0-105034725653,10.1016/j.conbuildmat.2026.146124,Drying process in a 3D-printed multilayer wall system: An experimental and numerical analysis,2026,Construction and Building Materials,Article,Materials science:0.755; Process (computing):0.636; Numerical analysis:0.623; Composite material:0.579; Computer simulation:0.387; Finite element method:0.337; Numerical modeling:0.292; Numerical models:0.275,uncertain,building_generic,ai,bldg:journal
2-s2.0-105036436530,10.1021/acsomega.5c11485,"Transparent Wood with Polymer-Dispersed Liquid Crystals for Next-Generation Smart Windows: Prospective for Energy Efficiency, Diurnal Light, and CO2 Emission Mitigation",2026,ACS Omega,Article,Materials science:0.66; Energy (signal processing):0.454; Liquid crystal:0.441; Optoelectronics:0.401; Composite material:0.315; Renewable energy:0.298; Optics:0.296; Environmental science:0.281,exclude,optical_static,rule,optical:liquid crystal
2-s2.0-105040227506,10.1117/12.3090546,Smart Adaptable Multistable Building Facades,2026,Proceedings of SPIE the International Society for Optical Engineering,Conference Paper,,uncertain,soft_motion_facade,ai,soft:adaptable; smart | bldg:building; facade
2-s2.0-105031083425,10.1016/j.enconman.2026.121289,An endogenous adaptive slime mould algorithm for curved photovoltaic systems MPPT under dynamic self-shading,2026,Energy Conversion and Management,Article,Robustness (evolution):0.749; Maximum power point tracking:0.666; Photovoltaic system:0.626; Control theory (sociology):0.615; Convergence (economics):0.545; Population:0.513; Computer science:0.5; Stability (learning theory):0.415,exclude,PV_electrical,rule,PV_electrical:mppt; photovoltaic
2-s2.0-105029653511,10.1016/j.enbuild.2026.117104,Bio-jaali: Reimagining vernacular passive cooling screens with mycelium-based composites,2026,Energy and Buildings,Article,Thermal comfort:0.611; Megacity:0.584; Evaporative cooler:0.547; Climate change:0.535; Architectural engineering:0.503; Environmental science:0.497; Civil engineering:0.488; Humidity:0.474,uncertain,building_generic,ai,bldg:architect; thermal comfort
2-s2.0-105035264735,10.1016/j.oceaneng.2026.124608,Lyapunov-EMPC based MPPT control for offshore bifacial photovoltaic systems considering environmental uncertainty,2026,Ocean Engineering,Article,Control theory (sociology):0.687; Photovoltaic system:0.579; Computer science:0.511; Robustness (evolution):0.488; Maximum power point tracking:0.474; Lyapunov function:0.397; Model predictive control:0.343; Robust control:0.343,exclude,PV_electrical,rule,PV_electrical:mppt; photovoltaic
2-s2.0-105029647797,10.1016/j.enbuild.2026.117129,Evaluation of smart glazing properties for net positive windows in commercial buildings,2026,Energy and Buildings,Article,Glazing:0.933; Daylighting:0.8; Energy consumption:0.575; Solar gain:0.551; Architectural engineering:0.528; Engineering:0.483; Building automation:0.451; Automotive engineering:0.421,uncertain,soft_motion_facade,ai,soft:smart | bldg:architect; building; daylight
