eid,doi,title,year,source,issn,volume,issue,pageRange,doctype,first_author,author_names,author_ids,affilname,affiliation_country,citedby_count,openaccess,authkeywords,oa_match,oa_title_sim,openalex_id,oa_authors,oa_n_authors,oa_institutions,oa_countries,oa_rors,oa_concepts,oa_topics,oa_n_referenced_works,oa_cited_by_count,oa_counts_by_year,oa_is_oa,oa_oa_status,oa_source,oa_issn,oa_pub_year,oa_type,cr_match,cr_funders,cr_n_funders,cr_license_types,cr_has_license,cr_reference_count,cr_issn,cr_container_title,cr_published_year,cr_type
2-s2.0-105034636250,10.1016/j.atech.2026.101989,"Potato cultivation in agrivoltaic systems in Northern Italy: a four-year case study on array setup, shading patterns, and yield response",2026,Smart Agricultural Technology,,14,,,Article,Colauzzi M.,,,"Università Cattolica del Sacro Cuore, Campus di Piacenza e Cremona",Italy,0,1,,doi,,https://openalex.org/W7135183088,Michele Colauzzi; Gabriele Sortino; Eleonora Potenza; Yuri Bellone; Giorgio Impollonia; Amirhossein Nikzad; Michele Croci; Giancarlo Ghidesi; Iliana Le Bossenec; Stefano Amaducci,10,Università Cattolica del Sacro Cuore; Istituti Ospitalieri di Cremona,IT,https://ror.org/03h7r5v07; https://ror.org/05w07vs91,Shading:0.913; Yield (engineering):0.656; Dry matter:0.637; Agronomy:0.618; Crop yield:0.495; Crop:0.483; Environmental science:0.435; Mathematics:0.425,Photovoltaic Systems and Sustainability; Potato Plant Research; Greenhouse Technology and Climate Control,40,0.0,[],True,gold,Smart Agricultural Technology,2772-3755,2026.0,article,doi,"Horizon Europe; European Commission; European Climate, Infrastructure and Environment Executive Agency",3,tdm; vor,True,53.0,2772-3755,Smart Agricultural Technology,2026.0,journal-article
2-s2.0-105037745526,10.1016/j.energy.2026.141160,"Spatiotemporal dynamics of thermal comfort, energy consumption, and carbon emissions in climate-adaptive MPCMs used for building envelopes across 11 cities with continental climate",2026,Energy,03605442,356,,,Article,Yao Z.,,,Tianjin University of Commerce,China,0,0,,doi,,https://openalex.org/W7155689833,Zhuonan Yao; Wantong Lu; Hui Zhang; Xinyu Wang; Lihua Zhu; Yan Shi,6,Tianjin University of Commerce,CN,https://ror.org/02b6amy98,Environmental science:0.723; Climate change:0.594; Thermal:0.591; Range (aeronautics):0.591; Carbon fibers:0.533; Work (physics):0.508; Composite number:0.482; Thermal energy:0.48,Phase Change Materials Research; Hygrothermal properties of building materials; Solar Thermal and Photovoltaic Systems,41,0.0,[],False,closed,Energy,0360-5442; 1873-6785,2026.0,article,doi,Tianjin Municipal Science and Technology Bureau; Key Technologies Research and Development Program,2,stm-asf; tdm,True,57.0,0360-5442,Energy,2026.0,journal-article
2-s2.0-105037738369,10.1016/j.tranpol.2026.104187,Context-sensitive safety policy for highway railway grade crossings: Evidence from fatal crash pattern analysis,2026,Transport Policy,0967070X,184,,,Article,Baitullah A.,,,Texas State University,United States,0,0,,doi,,https://openalex.org/W7160062091,Anika Baitullah; Sharif Ahmed Rafat; Tausif Islam Chowdhury; Subasish Das,4,,,,Transport engineering:0.579; Crash:0.546; Pattern analysis:0.472; Forensic engineering:0.469; Poison control:0.428; Engineering:0.404; Policy analysis:0.348; Accident analysis:0.347,Traffic and Road Safety; Occupational Health and Safety Research; Transportation Safety and Impact Analysis,37,0.0,[],False,closed,Transport Policy,0967-070X; 1879-310X,2026.0,article,doi,,0,stm-asf; tdm,True,51.0,0967-070X,Transport Policy,2026.0,journal-article
2-s2.0-105038742714,10.1016/j.buildenv.2026.114718,Real-time optimization of a dynamic solar PV integrated shading design with data-driven reactive control and spatial daylighting prediction,2026,Building and Environment,03601323,300,,,Article,Zhang H.,,,"Huawei Technologies Co., Ltd.",China,0,0,,doi,,https://openalex.org/W7160774640,Hao Zhang; Zheng Wang; Bicui Ye; Yuekuan Zhou; Xue Liu; Yi Zhang; Pengyuan Shen,7,,,,Daylighting:0.776; Shading:0.656; Photovoltaic system:0.6; Computer science:0.478; Environmental science:0.369; Control (management):0.368; Solar energy:0.342; Building-integrated photovoltaics:0.335,Building Energy and Comfort Optimization; Solar Thermal and Photovoltaic Systems; Solar Radiation and Photovoltaics,71,0.0,[],False,closed,Building and Environment,0360-1323; 1873-684X,2026.0,article,doi,Shenzhen Basic Research Program; National Natural Science Foundation of China,2,stm-asf; tdm,True,80.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105037445983,10.1016/j.energy.2026.141166,"Experimentally validated numerical model of adaptive envelopes with macroencapsulated PCMs under real conditions, including the effects of the capsule and indoor temperature variation",2026,Energy,03605442,355,,,Article,Alvarez-Rodriguez M.,,,Universidad de Oviedo,Spain,0,1,,doi,,https://openalex.org/W7155684901,Matias Alvarez-Rodriguez; Luis Tomas Silva-Klein; Mar Alonso-Martínez; Inés Suárez Ramón,4,Universidad de Oviedo,ES,https://ror.org/006gksa02,Variation (astronomy):0.556; Materials science:0.51; Mechanics:0.467; Environmental science:0.412; Temperature measurement:0.408; Capsule:0.4; Computer simulation:0.325; Temperature gradient:0.313,Phase Change Materials Research; Hygrothermal properties of building materials; Building Energy and Comfort Optimization,32,0.0,[],False,closed,Energy,0360-5442; 1873-6785,2026.0,article,doi,Gobierno de España Ministerio de Ciencia e Innovación; Gobierno de España Ministerio de Universidades,2,tdm; vor,True,48.0,0360-5442,Energy,2026.0,journal-article
2-s2.0-105039268083,10.1016/j.enbuild.2026.117573,Comprehensive performance prediction of a semi-transparent PV-PCM ventilated curtain wall system coupled with an air handling unit,2026,Energy and Buildings,03787788,363,,,Article,Wang X.,,,University of Science and Technology of China;Key Laboratory of Solar Thermal Conversion of Anhui Province,China;China,0,0,,doi,,https://openalex.org/W7160195176,Xinran Wang; Wei Ke; Yayun Tang; Suyue Xu; Yifei Gao; Jie Ji,6,,,,Performance prediction:0.675; Unit (ring theory):0.525; Environmental science:0.49; Automotive engineering:0.447; Marine engineering:0.424; Engineering:0.404; Energy performance:0.385; Performance improvement:0.373,Structural Analysis of Composite Materials; Solar Thermal and Photovoltaic Systems; Phase Change Materials Research,47,0.0,[],False,closed,Energy and Buildings,0378-7788; 1872-6178,2026.0,article,doi,National Natural Science Foundation of China; Intelligence Community Postdoctoral Research Fellowship Program,2,am; stm-asf; tdm,True,53.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105032991932,10.1016/j.susmat.2026.e01957,Bio-inspired 4D printing of earthen soil composites for structural living wall applications,2026,Sustainable Materials and Technologies,22149929,48,,,Article,Yousaf A.,,,"Hamad Bin Khalifa University, College of Science and Engineering",Qatar,0,1,,doi,,https://openalex.org/W7135078717,Arslan Yousaf; Muammer Koç,2,,,,Composite material:0.552; Materials science:0.521; Composite number:0.285; Geotechnical engineering:0.264; Engineering:0.246; Soil water:0.229; Finite element method:0.214; Mechanically stabilized earth:0.205,Plant and Biological Electrophysiology Studies; Microbial Applications in Construction Materials; Tree Root and Stability Studies,29,0.0,[],True,hybrid,Sustainable materials and technologies,2214-9929; 2214-9937,2026.0,article,doi,Qatar National Library,1,tdm; vor,True,44.0,2214-9937,Sustainable Materials and Technologies,2026.0,journal-article
2-s2.0-105038348691,10.1016/j.enbuild.2026.117603,Multilayer thermochromic radiative cooling smart window for building thermal regulation,2026,Energy and Buildings,03787788,363,,,Article,Zeng H.,,,Shanghai University,China,0,0,,doi,,https://openalex.org/W7160400167,Hao Zeng; Liangmiao Zhang; Kailin Han; Yibo Xue; Yanfeng Gao,5,,,,Materials science:0.651; Thermal:0.59; Window (computing):0.575; Thermochromism:0.548; Optoelectronics:0.492; Radiative cooling:0.48; Optics:0.442; Thermal radiation:0.42,Thermal Radiation and Cooling Technologies; Transition Metal Oxide Nanomaterials; Urban Heat Island Mitigation,39,0.0,[],False,closed,Energy and Buildings,0378-7788; 1872-6178,2026.0,article,doi,National Natural Science Foundation of China,1,stm-asf; tdm,True,40.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105038814362,10.1016/j.buildenv.2026.114744,Green facades and building energy performance: a multi-climate perspective,2026,Building and Environment,03601323,300,,,Article,Chen Q.,,,South China Agricultural University,China,0,0,,doi,,https://openalex.org/W7161246420,Qianhong Chen; Huijun Mao; Wentao Hu; Lan Pan,4,,,,Architectural engineering:0.726; Perspective (graphical):0.682; Energy (signal processing):0.496; Engineering:0.495; Green building:0.495; Civil engineering:0.396; Efficient energy use:0.378; Facade:0.345,Building Energy and Comfort Optimization; Sustainable Building Design and Assessment; Hygrothermal properties of building materials,65,0.0,[],False,closed,Building and Environment,0360-1323; 1873-684X,2026.0,article,doi,National Natural Science Foundation of China; Guangdong Provincial Natural Science Foundation,2,stm-asf; tdm,True,71.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105037762368,10.1016/j.applthermaleng.2026.131205,"Comprehensive evaluation of building energy load, power generation, and shading effects of vertical single-axis tracking PV louver systems",2026,Applied Thermal Engineering,13594311,299,,,Article,Sun Y.,,,China MCC5 Group Corp. Ltd.,China,0,0,,doi,,https://openalex.org/W7160168774,Yu Sun; Feining Yang; Yuling Xiao; Dong Hwan Wang; Huangping Zhou; Lili Zhang,6,,,,Louver:0.982; Shading:0.683; Tracking (education):0.654; Power (physics):0.555; Photovoltaic system:0.527; Energy (signal processing):0.521; Environmental science:0.478; Solar energy:0.435,Solar Radiation and Photovoltaics; Solar Thermal and Photovoltaic Systems; Photovoltaic System Optimization Techniques,33,0.0,[],False,closed,Applied Thermal Engineering,1359-4311; 1873-5606,2026.0,article,doi,National Natural Science Foundation of China National Outstanding Youth Science Fund Project; Sichuan Agricultural University; National Natural Science Foundation of China,3,stm-asf; tdm,True,37.0,1359-4311,Applied Thermal Engineering,2026.0,journal-article
2-s2.0-105038761297,10.1016/j.jedc.2026.105334,Dynamic order dispersion and volatility persistence in a simple limit order book model,2026,Journal of Economic Dynamics and Control,01651889,188,,,Article,Hawley A.,,,Johns Hopkins University,United States,0,1,,doi,,https://openalex.org/W4399908996,Andrew Hawley; Blake LeBaron; Mark E. Paddrik; Nathan Palmer,4,Brandeis University; Government of the United States of America; Federal Reserve; Federal Reserve Board of Governors,US,https://ror.org/05abbep66; https://ror.org/02rcrvv70; https://ror.org/05fk5tr28; https://ror.org/00v448643,Volatility (finance):0.615; Order (exchange):0.563; Persistence (discontinuity):0.543; Econometrics:0.516; Limit (mathematics):0.493; Simple (philosophy):0.455; Order book:0.449; Statistical physics:0.422,Financial Risk and Volatility Modeling; Complex Systems and Time Series Analysis; Stochastic processes and financial applications,71,0.0,[],True,hybrid,Journal of Economic Dynamics and Control,0165-1889; 1879-1743,2024.0,preprint,doi,,0,tdm; vor,True,84.0,0165-1889,Journal of Economic Dynamics and Control,2026.0,journal-article
2-s2.0-105036328474,10.1016/j.nxener.2026.100622,Advanced LSTM-based approach for fault detection and shading pattern identification in solar photovoltaic system using the Internet of Things,2026,Next Energy,,12,,,Article,M. A H.,,,Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology,India,0,1,,doi,,https://openalex.org/W7155063346,Habibu M. A; S. Sivakumar; S. Ramesh,3,,,,Photovoltaic system:0.566; Fault detection and isolation:0.561; Computer science:0.543; Identification (biology):0.534; Fault (geology):0.41; Real-time computing:0.366; Artificial intelligence:0.35; Internet of Things:0.332,Photovoltaic System Optimization Techniques; Internet of Things and AI; Solar Radiation and Photovoltaics,45,0.0,[],True,diamond,Next Energy,2949-821X,2026.0,article,doi,,0,tdm; vor,True,52.0,2949-821X,Next Energy,2026.0,journal-article
2-s2.0-105037440667,10.1016/j.enbuild.2026.117493,Climate-responsive envelope design for educational buildings: A comparative simulation study between the UK and Egypt,2026,Energy and Buildings,03787788,362,,,Article,Ozarisoy B.,,,United Arab Emirates University,United Arab Emirates,0,1,,doi,,https://openalex.org/W7154845884,Bertug Ozarisoy; Mubarak Elnour Ismail; Issa Chaer; Rania Rushdy Moussa; Mahmoud Alghrieb; Engy Elshazly; Iman El-Mahallawi; Hesham Safwat; Ahmad I. Elshamy,9,United Arab Emirates University; London South Bank University; London Borough of Southwark; British University in Egypt,AE; GB; EG,https://ror.org/01km6p862; https://ror.org/02vwnat91; https://ror.org/04hxq4b52; https://ror.org/0066fxv63,Overheating (electricity):0.907; Building envelope:0.646; HVAC:0.614; Thermal comfort:0.602; Natural ventilation:0.557; Environmental science:0.517; Meteorology:0.5; Engineering:0.458,Building Energy and Comfort Optimization; Indoor Air Quality and Microbial Exposure; Solar Energy Systems and Technologies,28,0.0,[],True,hybrid,Energy and Buildings,0378-7788; 1872-6178,2026.0,article,doi,London South Bank University; British Council; British Council; United Arab Emirates University; Science and Technology Development Fund,5,tdm; vor,True,28.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105032881431,10.1016/j.conengprac.2026.106893,Observer-based robust MPC for trajectory tracking of autonomous vehicles with dynamic envelopes,2026,Control Engineering Practice,09670661,172,,,Article,Cai G.,,,Southeast University,China,1,0,,doi,,https://openalex.org/W7138903047,Guoshun Cai; Guodong Yin; Jinxiang Wang; Jiwei Feng; Shuo Bai; Jingyu Hu,6,,,,Trajectory:0.743; Control theory (sociology):0.709; Computer science:0.562; Tracking (education):0.561; Control engineering:0.437; Robust control:0.341; Robustness (evolution):0.326; Model predictive control:0.326,Advanced Control Systems Optimization; Distributed Control Multi-Agent Systems; Spacecraft Dynamics and Control,33,0.0,[],False,closed,Control Engineering Practice,0967-0661; 1873-6939,2026.0,article,doi,Key Technologies Research and Development Program; National Natural Science Foundation of China,2,stm-asf; tdm,True,36.0,0967-0661,Control Engineering Practice,2026.0,journal-article
2-s2.0-105036251755,10.1016/j.buildenv.2026.114615,Impacts of balconies on air quality within idealized building array: CFD modelling with solar radiation,2026,Building and Environment,03601323,298,,,Article,Chen G.,,,Aarhus Universitet;South China Agricultural University,Denmark;China,0,0,,doi,,https://openalex.org/W7154467028,Guoxing Chen; Guoqiang Zhang; Yanni Liu; Riyi Li; Li Rong,5,,,,Computational fluid dynamics:0.674; Environmental science:0.643; Meteorology:0.495; Air quality index:0.477; Radiation:0.444; Marine engineering:0.398; Quality (philosophy):0.317; Solar energy:0.306,Solar Energy Systems and Technologies; Building Energy and Comfort Optimization; Wind and Air Flow Studies,38,0.0,[],False,closed,Building and Environment,0360-1323; 1873-684X,2026.0,article,doi,,0,stm-asf; tdm,True,46.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105036242306,10.1016/j.energy.2026.141017,Finite element modeling and experimental study on an innovative pavement module integrated photovoltaic-piezoelectric effects,2026,Energy,03605442,353,,,Article,Yin C.,,,Wuxi University,China,0,0,,doi,,https://openalex.org/W7153900710,Chengqi Yin; Mingxuan Mao; Yuhao Tang; Shuang Liu; Qingqing Yuan; Yuzhou Liu; Zhi Yang; Lei Miao; Huanxin Li,9,Nanjing University of Information Science and Technology; Wuxi Municipal Product Quality Supervision and Inspection Institute; University College London,CN; GB,https://ror.org/02y0rxk19; https://ror.org/0009f0p28; https://ror.org/02jx3x895,Finite element method:0.723; Engineering:0.454; Structural engineering:0.418; Mechanical engineering:0.386; Computer science:0.359; Mathematical model:0.264; Work (physics):0.248; Automotive engineering:0.248,Innovative Energy Harvesting Technologies; Smart Materials for Construction; Advanced Sensor and Energy Harvesting Materials,28,0.0,[],False,closed,Energy,0360-5442; 1873-6785,2026.0,article,doi,National Natural Science Foundation of China; National Natural Science Foundation of China,2,stm-asf; tdm,True,34.0,0360-5442,Energy,2026.0,journal-article
2-s2.0-105035264470,10.1016/j.energy.2026.140990,"Digital twin and AI-driven smart adaptive walls for energy, comfort and carbon optimization in intelligent green buildings",2026,Energy,03605442,353,,,Article,Abuhussain M.A.,,,Najran University,Saudi Arabia,0,0,,doi,,https://openalex.org/W7151759568,Mohammed Awad Abuhussain,1,,,,Engineering:0.441; Carbon fibers:0.423; Computer science:0.408; Architectural engineering:0.371; Environmental science:0.347; Building automation:0.31; Renewable energy:0.293; Carbon footprint:0.291,Building Energy and Comfort Optimization; Topology Optimization in Engineering; Digital Transformation in Industry,49,0.0,[],False,closed,Energy,0360-5442; 1873-6785,2026.0,article,doi,,0,stm-asf; tdm,True,56.0,0360-5442,Energy,2026.0,journal-article
2-s2.0-105034360495,10.1016/j.buildenv.2026.114541,"Predicting emotional impact of adaptive façades through Machine Learning, A VR-based study with PAD assessment",2026,Building and Environment,03601323,297,,,Article,Pantilimonescu-Cioancă F.,,,Ion Mincu University of Architecture and Urbanism,Romania,0,0,,doi,,https://openalex.org/W7140141629,Florina Pantilimonescu-Cioancă; Umberto Alibrandi; Valentina Beatini,3,,,,Computer science:0.475; Artificial intelligence:0.405; Engineering:0.301; Psychology:0.294; Machine learning:0.275; Simulation:0.253; Artificial neural network:0.233; Computer vision:0.23,Virtual Reality Applications and Impacts; Aesthetic Perception and Analysis; Spatial Cognition and Navigation,55,0.0,[],False,closed,Building and Environment,0360-1323; 1873-684X,2026.0,article,doi,,0,stm-asf; tdm,True,85.0,0360-1323,Building and Environment,2026.0,journal-article
