eid,abstract,abstract_status,eff_doi,doi,title,year,source,issn,volume,issue,pageRange,doctype,first_author,author_names,author_ids,affilname,affiliation_country,citedby_count,openaccess,authkeywords,oa_match,oa_title_sim,openalex_id,oa_authors,oa_n_authors,oa_institutions,oa_countries,oa_rors,oa_concepts,oa_topics,oa_n_referenced_works,oa_cited_by_count,oa_counts_by_year,oa_is_oa,oa_oa_status,oa_source,oa_issn,oa_pub_year,oa_type,cr_match,cr_funders,cr_n_funders,cr_license_types,cr_has_license,cr_reference_count,cr_issn,cr_container_title,cr_published_year,cr_type
2-s2.0-105038742714,,missing,10.1016/j.buildenv.2026.114718,10.1016/j.buildenv.2026.114718,Real-time optimization of a dynamic solar PV integrated shading design with data-driven reactive control and spatial daylighting prediction,2026,Building and Environment,03601323,300,,,Article,Zhang H.,,,"Huawei Technologies Co., Ltd.",China,0,0,,doi,,https://openalex.org/W7160774640,Hao Zhang; Zheng Wang; Bicui Ye; Yuekuan Zhou; Xue Liu; Yi Zhang; Pengyuan Shen,7,,,,Daylighting:0.776; Shading:0.656; Photovoltaic system:0.6; Computer science:0.478; Environmental science:0.369; Control (management):0.368; Solar energy:0.342; Building-integrated photovoltaics:0.335,Building Energy and Comfort Optimization; Solar Thermal and Photovoltaic Systems; Solar Radiation and Photovoltaics,71,0.0,[],False,closed,Building and Environment,0360-1323; 1873-684X,2026.0,article,doi,Shenzhen Basic Research Program; National Natural Science Foundation of China,2,stm-asf; tdm,True,80.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105037445983,,missing,10.1016/j.energy.2026.141166,10.1016/j.energy.2026.141166,"Experimentally validated numerical model of adaptive envelopes with macroencapsulated PCMs under real conditions, including the effects of the capsule and indoor temperature variation",2026,Energy,03605442,355,,,Article,Alvarez-Rodriguez M.,,,Universidad de Oviedo,Spain,0,1,,doi,,https://openalex.org/W7155684901,Matias Alvarez-Rodriguez; Luis Tomas Silva-Klein; Mar Alonso-Martínez; Inés Suárez Ramón,4,Universidad de Oviedo,ES,https://ror.org/006gksa02,Variation (astronomy):0.556; Materials science:0.51; Mechanics:0.467; Environmental science:0.412; Temperature measurement:0.408; Capsule:0.4; Computer simulation:0.325; Temperature gradient:0.313,Phase Change Materials Research; Hygrothermal properties of building materials; Building Energy and Comfort Optimization,32,0.0,[],False,closed,Energy,0360-5442; 1873-6785,2026.0,article,doi,Gobierno de España Ministerio de Ciencia e Innovación; Gobierno de España Ministerio de Universidades,2,tdm; vor,True,48.0,0360-5442,Energy,2026.0,journal-article
2-s2.0-105032991932,,missing,10.1016/j.susmat.2026.e01957,10.1016/j.susmat.2026.e01957,Bio-inspired 4D printing of earthen soil composites for structural living wall applications,2026,Sustainable Materials and Technologies,22149929,48,,,Article,Yousaf A.,,,"Hamad Bin Khalifa University, College of Science and Engineering",Qatar,0,1,,doi,,https://openalex.org/W7135078717,Arslan Yousaf; Muammer Koç,2,,,,Composite material:0.552; Materials science:0.521; Composite number:0.285; Geotechnical engineering:0.264; Engineering:0.246; Soil water:0.229; Finite element method:0.214; Mechanically stabilized earth:0.205,Plant and Biological Electrophysiology Studies; Microbial Applications in Construction Materials; Tree Root and Stability Studies,29,0.0,[],True,hybrid,Sustainable materials and technologies,2214-9929; 2214-9937,2026.0,article,doi,Qatar National Library,1,tdm; vor,True,44.0,2214-9937,Sustainable Materials and Technologies,2026.0,journal-article
2-s2.0-105038814362,,missing,10.1016/j.buildenv.2026.114744,10.1016/j.buildenv.2026.114744,Green facades and building energy performance: a multi-climate perspective,2026,Building and Environment,03601323,300,,,Article,Chen Q.,,,South China Agricultural University,China,0,0,,doi,,https://openalex.org/W7161246420,Qianhong Chen; Huijun Mao; Wentao Hu; Lan Pan,4,,,,Architectural engineering:0.726; Perspective (graphical):0.682; Energy (signal processing):0.496; Engineering:0.495; Green building:0.495; Civil engineering:0.396; Efficient energy use:0.378; Facade:0.345,Building Energy and Comfort Optimization; Sustainable Building Design and Assessment; Hygrothermal properties of building materials,65,0.0,[],False,closed,Building and Environment,0360-1323; 1873-684X,2026.0,article,doi,National Natural Science Foundation of China; Guangdong Provincial Natural Science Foundation,2,stm-asf; tdm,True,71.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105037762368,,missing,10.1016/j.applthermaleng.2026.131205,10.1016/j.applthermaleng.2026.131205,"Comprehensive evaluation of building energy load, power generation, and shading effects of vertical single-axis tracking PV louver systems",2026,Applied Thermal Engineering,13594311,299,,,Article,Sun Y.,,,China MCC5 Group Corp. Ltd.,China,0,0,,doi,,https://openalex.org/W7160168774,Yu Sun; Feining Yang; Yuling Xiao; Dong Hwan Wang; Huangping Zhou; Lili Zhang,6,,,,Louver:0.982; Shading:0.683; Tracking (education):0.654; Power (physics):0.555; Photovoltaic system:0.527; Energy (signal processing):0.521; Environmental science:0.478; Solar energy:0.435,Solar Radiation and Photovoltaics; Solar Thermal and Photovoltaic Systems; Photovoltaic System Optimization Techniques,33,0.0,[],False,closed,Applied Thermal Engineering,1359-4311; 1873-5606,2026.0,article,doi,National Natural Science Foundation of China National Outstanding Youth Science Fund Project; Sichuan Agricultural University; National Natural Science Foundation of China,3,stm-asf; tdm,True,37.0,1359-4311,Applied Thermal Engineering,2026.0,journal-article
2-s2.0-105037440667,,missing,10.1016/j.enbuild.2026.117493,10.1016/j.enbuild.2026.117493,Climate-responsive envelope design for educational buildings: A comparative simulation study between the UK and Egypt,2026,Energy and Buildings,03787788,362,,,Article,Ozarisoy B.,,,United Arab Emirates University,United Arab Emirates,0,1,,doi,,https://openalex.org/W7154845884,Bertug Ozarisoy; Mubarak Elnour Ismail; Issa Chaer; Rania Rushdy Moussa; Mahmoud Alghrieb; Engy Elshazly; Iman El-Mahallawi; Hesham Safwat; Ahmad I. Elshamy,9,United Arab Emirates University; London South Bank University; London Borough of Southwark; British University in Egypt,AE; GB; EG,https://ror.org/01km6p862; https://ror.org/02vwnat91; https://ror.org/04hxq4b52; https://ror.org/0066fxv63,Overheating (electricity):0.907; Building envelope:0.646; HVAC:0.614; Thermal comfort:0.602; Natural ventilation:0.557; Environmental science:0.517; Meteorology:0.5; Engineering:0.458,Building Energy and Comfort Optimization; Indoor Air Quality and Microbial Exposure; Solar Energy Systems and Technologies,28,0.0,[],True,hybrid,Energy and Buildings,0378-7788; 1872-6178,2026.0,article,doi,London South Bank University; British Council; British Council; United Arab Emirates University; Science and Technology Development Fund,5,tdm; vor,True,28.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105032881431,,missing,10.1016/j.conengprac.2026.106893,10.1016/j.conengprac.2026.106893,Observer-based robust MPC for trajectory tracking of autonomous vehicles with dynamic envelopes,2026,Control Engineering Practice,09670661,172,,,Article,Cai G.,,,Southeast University,China,1,0,,doi,,https://openalex.org/W7138903047,Guoshun Cai; Guodong Yin; Jinxiang Wang; Jiwei Feng; Shuo Bai; Jingyu Hu,6,,,,Trajectory:0.743; Control theory (sociology):0.709; Computer science:0.562; Tracking (education):0.561; Control engineering:0.437; Robust control:0.341; Robustness (evolution):0.326; Model predictive control:0.326,Advanced Control Systems Optimization; Distributed Control Multi-Agent Systems; Spacecraft Dynamics and Control,33,0.0,[],False,closed,Control Engineering Practice,0967-0661; 1873-6939,2026.0,article,doi,Key Technologies Research and Development Program; National Natural Science Foundation of China,2,stm-asf; tdm,True,36.0,0967-0661,Control Engineering Practice,2026.0,journal-article
2-s2.0-105036251755,,missing,10.1016/j.buildenv.2026.114615,10.1016/j.buildenv.2026.114615,Impacts of balconies on air quality within idealized building array: CFD modelling with solar radiation,2026,Building and Environment,03601323,298,,,Article,Chen G.,,,Aarhus Universitet;South China Agricultural University,Denmark;China,0,0,,doi,,https://openalex.org/W7154467028,Guoxing Chen; Guoqiang Zhang; Yanni Liu; Riyi Li; Li Rong,5,,,,Computational fluid dynamics:0.674; Environmental science:0.643; Meteorology:0.495; Air quality index:0.477; Radiation:0.444; Marine engineering:0.398; Quality (philosophy):0.317; Solar energy:0.306,Solar Energy Systems and Technologies; Building Energy and Comfort Optimization; Wind and Air Flow Studies,38,0.0,[],False,closed,Building and Environment,0360-1323; 1873-684X,2026.0,article,doi,,0,stm-asf; tdm,True,46.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105035264470,,missing,10.1016/j.energy.2026.140990,10.1016/j.energy.2026.140990,"Digital twin and AI-driven smart adaptive walls for energy, comfort and carbon optimization in intelligent green buildings",2026,Energy,03605442,353,,,Article,Abuhussain M.A.,,,Najran University,Saudi Arabia,0,0,,doi,,https://openalex.org/W7151759568,Mohammed Awad Abuhussain,1,,,,Engineering:0.441; Carbon fibers:0.423; Computer science:0.408; Architectural engineering:0.371; Environmental science:0.347; Building automation:0.31; Renewable energy:0.293; Carbon footprint:0.291,Building Energy and Comfort Optimization; Topology Optimization in Engineering; Digital Transformation in Industry,49,0.0,[],False,closed,Energy,0360-5442; 1873-6785,2026.0,article,doi,,0,stm-asf; tdm,True,56.0,0360-5442,Energy,2026.0,journal-article
2-s2.0-105034360495,,missing,10.1016/j.buildenv.2026.114541,10.1016/j.buildenv.2026.114541,"Predicting emotional impact of adaptive façades through Machine Learning, A VR-based study with PAD assessment",2026,Building and Environment,03601323,297,,,Article,Pantilimonescu-Cioancă F.,,,Ion Mincu University of Architecture and Urbanism,Romania,0,0,,doi,,https://openalex.org/W7140141629,Florina Pantilimonescu-Cioancă; Umberto Alibrandi; Valentina Beatini,3,,,,Computer science:0.475; Artificial intelligence:0.405; Engineering:0.301; Psychology:0.294; Machine learning:0.275; Simulation:0.253; Artificial neural network:0.233; Computer vision:0.23,Virtual Reality Applications and Impacts; Aesthetic Perception and Analysis; Spatial Cognition and Navigation,55,0.0,[],False,closed,Building and Environment,0360-1323; 1873-684X,2026.0,article,doi,,0,stm-asf; tdm,True,85.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105034627643,,missing,10.1016/j.jweia.2026.106394,10.1016/j.jweia.2026.106394,Cyber-physical smart morphing facades driven by reinforcement learning for wind-induced vibration control in tall buildings,2026,Journal of Wind Engineering and Industrial Aerodynamics,01676105,273,,,Article,Dokhaei B.,,,College of Engineering,United States,0,0,,doi,,https://openalex.org/W7146967823,Bahareh Dokhaei; Alice Alipour; Khalid Abdelaziz; Behrouz Shafei; Partha P. Sarkar; Jared D. Hobeck,6,Iowa State University; Kansas State University,US,https://ror.org/04rswrd78; https://ror.org/05p1j8758,Morphing:0.844; Aeroelasticity:0.686; Reinforcement learning:0.62; Facade:0.556; Engineering:0.516; Adaptability:0.472; Structural engineering:0.469; Vibration:0.467,Aeroelasticity and Vibration Control; Vibration Control and Rheological Fluids; Wind and Air Flow Studies,45,1.0,"[{""year"": 2026, ""cited_by_count"": 1}]",False,closed,Journal of Wind Engineering and Industrial Aerodynamics,0167-6105; 1872-8197,2026.0,article,doi,National Science Foundation; National Science Foundation,2,stm-asf; tdm,True,66.0,0167-6105,Journal of Wind Engineering and Industrial Aerodynamics,2026.0,journal-article
2-s2.0-105025022388,,missing,10.1016/j.egyr.2025.12.042,10.1016/j.egyr.2025.12.042,"Impact of microalgae-integrated windows on building performance: Energy, daylight, and carbon analysis using an innovative simulation method",2026,Energy Reports,,15,,,Article,Nazari S.,,,University of Tehran;University of Technology Sydney,Iran;Australia,1,1,,doi,,https://openalex.org/W7114909378,Sarah Nazari; Iman Sheikhansari; Payam Keshavarz Mirzamohammadi; Foroogh Mirnataj; Behrang Sajadi,5,,,,Glazing:0.822; Radiance:0.638; Daylight:0.575; Environmental science:0.506; Daylighting:0.493; Computer science:0.477; Thermal:0.435; Dynamic simulation:0.352,Algal biology and biofuel production; Light effects on plants; Solar-Powered Water Purification Methods,41,0.0,[],True,gold,Energy Reports,2352-4847,2025.0,article,doi,,0,tdm; vor,True,62.0,2352-4847,Energy Reports,2026.0,journal-article
2-s2.0-105035254581,,missing,10.1016/j.enbuild.2026.117351,10.1016/j.enbuild.2026.117351,Building robustness: measuring climate-responsive performance with information theory,2026,Energy and Buildings,03787788,360,,,Article,Braham W.W.,,,University of Pennsylvania Stuart Weitzman School of Design,United States,0,1,,doi,,https://openalex.org/W7139975416,William W. Braham; X. Ye; Xiang Zhang; Hwang Yi,4,University of Pennsylvania; Tongji University; Shanghai Tongji Urban Planning and Design Institute; Arizona State University; Korea University,US; CN; KR,https://ror.org/00b30xv10; https://ror.org/03rc6as71; https://ror.org/03gb38m78; https://ror.org/03efmqc40; https://ror.org/047dqcg40,Computer science:0.547; Information theory:0.418; Information system:0.348; Energy (signal processing):0.313; Field (mathematics):0.305; Measure (data warehouse):0.303; Systems engineering:0.299; Engineering:0.293,Sustainable Building Design and Assessment; Sustainability and Climate Change Governance; Building Energy and Comfort Optimization,30,1.0,"[{""year"": 2026, ""cited_by_count"": 1}]",True,hybrid,Energy and Buildings,0378-7788; 1872-6178,2026.0,article,doi,,0,tdm; vor,True,50.0,0378-7788,Energy and Buildings,2026.0,journal-article
