eid,orig_doi,eff_doi,title,source,doctype,stage1_decision,publisher,abstract_status,abstract_len,abstract
2-s2.0-105038742714,10.1016/j.buildenv.2026.114718,10.1016/j.buildenv.2026.114718,Real-time optimization of a dynamic solar PV integrated shading design with data-driven reactive control and spatial daylighting prediction,Building and Environment,Article,uncertain,elsevier,missing,0,
2-s2.0-105037445983,10.1016/j.energy.2026.141166,10.1016/j.energy.2026.141166,"Experimentally validated numerical model of adaptive envelopes with macroencapsulated PCMs under real conditions, including the effects of the capsule and indoor temperature variation",Energy,Article,uncertain,elsevier,missing,0,
2-s2.0-105032991932,10.1016/j.susmat.2026.e01957,10.1016/j.susmat.2026.e01957,Bio-inspired 4D printing of earthen soil composites for structural living wall applications,Sustainable Materials and Technologies,Article,include,elsevier,missing,0,
2-s2.0-105038814362,10.1016/j.buildenv.2026.114744,10.1016/j.buildenv.2026.114744,Green facades and building energy performance: a multi-climate perspective,Building and Environment,Article,uncertain,elsevier,missing,0,
2-s2.0-105037762368,10.1016/j.applthermaleng.2026.131205,10.1016/j.applthermaleng.2026.131205,"Comprehensive evaluation of building energy load, power generation, and shading effects of vertical single-axis tracking PV louver systems",Applied Thermal Engineering,Article,uncertain,elsevier,missing,0,
2-s2.0-105037440667,10.1016/j.enbuild.2026.117493,10.1016/j.enbuild.2026.117493,Climate-responsive envelope design for educational buildings: A comparative simulation study between the UK and Egypt,Energy and Buildings,Article,uncertain,elsevier,missing,0,
2-s2.0-105032881431,10.1016/j.conengprac.2026.106893,10.1016/j.conengprac.2026.106893,Observer-based robust MPC for trajectory tracking of autonomous vehicles with dynamic envelopes,Control Engineering Practice,Article,uncertain,elsevier,missing,0,
2-s2.0-105036251755,10.1016/j.buildenv.2026.114615,10.1016/j.buildenv.2026.114615,Impacts of balconies on air quality within idealized building array: CFD modelling with solar radiation,Building and Environment,Article,uncertain,elsevier,missing,0,
2-s2.0-105035264470,10.1016/j.energy.2026.140990,10.1016/j.energy.2026.140990,"Digital twin and AI-driven smart adaptive walls for energy, comfort and carbon optimization in intelligent green buildings",Energy,Article,uncertain,elsevier,missing,0,
2-s2.0-105034360495,10.1016/j.buildenv.2026.114541,10.1016/j.buildenv.2026.114541,"Predicting emotional impact of adaptive façades through Machine Learning, A VR-based study with PAD assessment",Building and Environment,Article,uncertain,elsevier,missing,0,
2-s2.0-105034627643,10.1016/j.jweia.2026.106394,10.1016/j.jweia.2026.106394,Cyber-physical smart morphing facades driven by reinforcement learning for wind-induced vibration control in tall buildings,Journal of Wind Engineering and Industrial Aerodynamics,Article,include,elsevier,missing,0,
2-s2.0-105025022388,10.1016/j.egyr.2025.12.042,10.1016/j.egyr.2025.12.042,"Impact of microalgae-integrated windows on building performance: Energy, daylight, and carbon analysis using an innovative simulation method",Energy Reports,Article,uncertain,elsevier,missing,0,
2-s2.0-105035254581,10.1016/j.enbuild.2026.117351,10.1016/j.enbuild.2026.117351,Building robustness: measuring climate-responsive performance with information theory,Energy and Buildings,Article,uncertain,elsevier,missing,0,
2-s2.0-105024611275,10.1016/j.sftr.2025.101599,10.1016/j.sftr.2025.101599,Multi-objective optimization framework to achieve near-zero energy building in the Czech Republic for future climatic conditions,Sustainable Futures,Article,uncertain,elsevier,missing,0,
2-s2.0-105032701225,10.15627/jd.2026.5,10.15627/jd.2026.5,Sequential Multi-Objective Optimization and Post-optimization Sensitivity Analysis of Light Shelf Variables in Semi-Arid Climates,Journal of Daylighting,Article,uncertain,other,ok,1717,"Global climate action necessitates the optimization of building envelopes during early design to enhance energy efficiency and occupant comfort. Exterior light shelves are a critical passive strategy for improving thermal and visual comfort while simultaneously reducing energy consumption. This study addresses a research gap by integrating sensitivity analysis (SA) and multi-objective optimization (MOO) for light shelf systems in office buildings within Iran's semi-arid continental climate. We systematically investigate the impact of light shelf and window parameters on three key performance metrics: Predicted Mean Vote (PMV) for thermal comfort, Daylight Glare Probability (DGP) for visual comfort, and Energy Use Intensity (EUI) for overall energy performance. Utilizing a robust methodology that employs a multi-objective genetic algorithm (MOGA), the research identifies optimal design solutions by navigating the trade-offs on the Pareto frontier. The key design variables include shading control strategy (SCS), light shelf angle (LSA), length (LSL), height (LSH), viewpoint (VP), visible transmittance (VT), and window-to-wall ratio (WWR). Our findings reveal significant performance improvements: PMV improves by 22%, DGP by 69%, and EUI by 12.6% compared to the baseline model. SA identifies WWR, SCS, and LSA as the most influential parameters, with WWR having a particularly significant effect on glare and energy consumption. The energy simulation is validated against the ASHRAE 140-2020 standard, ensuring the reliability of our results. This research provides a comprehensive framework for designing high-performance façades that prioritize occupant well-being and environmental sustainability."
2-s2.0-105026452555,10.1016/j.egyr.2025.109017,10.1016/j.egyr.2025.109017,Hourly solar irradiance estimation and building-surface solar potential assessment via remote sensing and machine learning for data-scarce mountainous regions,Energy Reports,Article,uncertain,elsevier,missing,0,
2-s2.0-105031629892,10.1016/j.precisioneng.2026.02.017,10.1016/j.precisioneng.2026.02.017,Real-time monitoring of grinding wheel using a dynamic envelope model,Precision Engineering,Article,uncertain,elsevier,missing,0,
2-s2.0-105035388547,10.1016/j.buildenv.2026.114479,10.1016/j.buildenv.2026.114479,3D façade geometry as a dual passive control in hot urban canyons: reducing street MRT and cooling loads,Building and Environment,Article,uncertain,elsevier,missing,0,
2-s2.0-105035055152,10.1016/j.enbuild.2026.117393,10.1016/j.enbuild.2026.117393,Climate-adaptive energy performance of green facades in a composite climate,Energy and Buildings,Article,uncertain,elsevier,missing,0,
2-s2.0-105039957234,10.1073/pnas.2535522123,10.1073/pnas.2535522123,Indoor thermoregulatory homeostasis using hydrodynamic instability,Proceedings of the National Academy of Sciences of the United States of America,Article,uncertain,other,missing,0,
2-s2.0-105033708421,10.1016/j.buildenv.2026.114519,10.1016/j.buildenv.2026.114519,Segmented dynamic photovoltaic shading façade based on kiri-origami: Multi-objective decision-making and interpretable machine learning analysis,Building and Environment,Article,include,elsevier,missing,0,
2-s2.0-105037816760,10.31202/ecjse.1786255,10.31202/ecjse.1786255,Biomimetic Design of a Climate-Responsive Building Envelope Cell Performing Under Both Hot and Cold Weather Conditions,El Cezeri Journal of Science and Engineering,Article,uncertain,other,ok,1650,"Biological organisms in nature vary in their thermal adaptation strategies according to the cold or hot climatic conditions they live in. In this study, a building envelope design, which provides a two-way function of both gaining the heat needed in cold climate conditions and preventing the heat gain in hot climate conditions was studied. The morphological features and adaptation behaviors of organisms living in extreme temperature conditions in nature to keep their body and nest temperatures in the optimum range were examined with biomimetic design methodology approach. When the adaptation skills of biological organisms in the transition to different seasons were taken as reference, it was seen that dynamism is necessary to apply a similar adaptation to structures for the effective use of energy. The dynamism of design proposals of the kinetic building envelope is obtained by combining morphological structures with smart materials. Contrary to existing one-way adapting building envelope designs which are costly, composed of mechanical components, and bring difficulties to be implemented on buildings, a comprehensive and technology-free approach was brought. Three ideas designed with a synthesizing approach that can adapt to both conditions were proposed. In order to compare the thermal comfort performance among the designs, solar thermal analysis was carried out using computational-fluid-dynamics (CFD) analysis. In the end of the analysis, it was seen that the building envelope cells can increase heat gain in winter up to 5.9°C in the interior wall, while the thermal temperature load can be reduced up to 1.1°C in summer."
2-s2.0-105040080485,10.3390/en19102267,10.3390/en19102267,Modeling of Adaptive Shading Adjustment Behavior in Buildings and Its Impacts on Building Energy Consumption and Indoor Lighting and Thermal Environments: A Systematic Review,Energies,Review,uncertain,mdpi,ok,1211,"As a significant manifestation of interaction between building occupants and the built environment, adaptive shading adjustment behavior exerts a substantial influence on building energy consumption and indoor lighting and thermal environments. Existing reviews either focus on generalized occupant behavior or were published relatively early, lacking a systematic and up-to-date synthesis specifically addressing adaptive shading adjustment behavior. Through a comprehensive analysis of 68 core articles retrieved from the SCOPUS database and Web of Science database, this review summarizes major research advances, including testing methods for adaptive shading adjustment behavior, analysis of its driving factors, modeling and simulation approaches, and its impacts on energy consumption and indoor lighting and thermal environments. Furthermore, this review identifies limitations in current research, such as limited sample sizes, insufficient consideration of psychosocial factors, and the need for further validation of model generalizability. Future research directions are also proposed, aiming to provide a reference for in-depth investigations into adaptive shading adjustment behavior in buildings."
2-s2.0-105036503017,10.1115/1.4071458,10.1115/1.4071458,Artificial Intelligence-Driven Adaptive Facade Systems in High-Rise Buildings: A Study on Integrating Machine Learning With Real-Time Environmental Data to Optimize Energy Efficiency,Journal of Engineering for Sustainable Buildings and Cities,Article,uncertain,other,missing,0,
2-s2.0-105038219631,10.1093/jcde/qwag038,10.1093/jcde/qwag038,Predictive collective control of large-scale kinetic facades via graph neural networks and reinforcement learning: From simulation to physical validation,Journal of Computational Design and Engineering,Article,include,other,missing,0,
2-s2.0-105031895975,10.1016/j.applthermaleng.2026.130448,10.1016/j.applthermaleng.2026.130448,Design development and characterization of thermotropic façade system with honeycomb construction,Applied Thermal Engineering,Article,uncertain,elsevier,missing,0,
2-s2.0-105034579858,10.1016/j.renene.2026.125415,10.1016/j.renene.2026.125415,"Design, experimental testing, and numerical investigation of a ventilated semi-transparent photovoltaic facade integrated with supply-air conditioning in summer",Renewable Energy,Article,uncertain,elsevier,missing,0,
2-s2.0-105032104928,10.1016/j.enbuild.2026.117258,10.1016/j.enbuild.2026.117258,Smart thermal energy storage system integrated into the building envelope for photovoltaic surplus management,Energy and Buildings,Article,uncertain,elsevier,missing,0,
2-s2.0-105037547057,10.1007/s00484-026-03207-3,10.1007/s00484-026-03207-3,Revealing walking experiences for shading based gendered perceptions of thermal comfort in a hot city,International Journal of Biometeorology,Article,uncertain,springer,ok,1486,"Urban pedestrian environments shape subjective thermal comfort under intensifying heat stress; however, the pathway through which shading translates into walking experience remains insufficiently specified, particularly regarding potential gender heterogeneity. This study examines how perceived shade quality relates to subjective thermal perception, walking satisfaction, and duration of public-space use in Macau. A mixed-method design integrates climate-informed solar-access screening and on-site surveys, and Partial Least Squares Structural Equation Modelling is applied to test a perception-led mediation structure with female–male multi-group comparison. Results indicate that shade quality contributes to walking satisfaction primarily through subjective thermal perception, while duration-related effects are more contingent. Multi-group tests show that the core behavioural paths are statistically comparable across groups, whereas gender-sensitive differences are detected in the perceptual linkage between shade quality and subjective thermal perception and, more clearly, in the associations between subjective thermal perception and concurrent microclimatic indicators (relative humidity, air temperature, wind speed, and solar radiation). These findings support heat-responsive shading strategies that prioritise perceptual thermal relief through shade continuity while providing microclimatic options that accommodate heterogeneous regulation under hot-humid exposure."
2-s2.0-105031172632,10.1016/j.enbuild.2026.117192,10.1016/j.enbuild.2026.117192,RHpT: Bioclimatic framework for passive climate-adaptive bio-façades in urban contexts,Energy and Buildings,Article,uncertain,elsevier,missing,0,
2-s2.0-105038552379,10.3390/buildings16091779,10.3390/buildings16091779,Research on the Impact of Transition Space on the Optimization of Thermal Environment in Community Elderly Indoor Activity Spaces,Buildings,Article,uncertain,mdpi,ok,1790,"With growing health awareness and an increasing preference for indoor exercise among the elderly, the demand for community indoor activity spaces is rising in the northern regions of China with cold winters and hot summers. While previous community studies have primarily focused on residential buildings, limited attention has been given to indoor activity spaces for the elderly. Moreover, field measurements expose critical thermal deficiencies in these spaces, where indoor temperatures remain substandard in both winter and summer, particularly falling substantially below the WHO health-based threshold (≥18 °C) in winter. Recognizing that transitional spaces are effective for improving indoor thermal conditions, this study explored their potential to enhance the indoor thermal environment, leading to targeted retrofitting schemes. The results showed that although additional transitional spaces effectively enhance the thermal performance, the strategies for winter and summer often conflict. Specifically, enclosed transitional spaces are effective for winter insulation but are prone to overheating in summer, whereas semi-outdoor configurations on the south and west facades are beneficial for summer heat prevention. Based on these findings, optimal retrofitting schemes were identified: for Site A, the existing interior corridor is transformed into a semi-outdoor transitional space; for Site B, an Adaptive Façade system is proposed for the south façade. Furthermore, despite the passive benefits, auxiliary HVAC systems remain necessary to maintain temperatures strictly within the comfort range during extreme weather. This study provides a scientific basis for research on transition spaces and offers a reference for retrofitting buildings in similar climatic regions."
2-s2.0-105040100498,10.3390/buildings16101887,10.3390/buildings16101887,Dynamic Optimization Model for Passive Solar Shading and Its Application in Building Energy Efficiency Across Multiple,Buildings,Article,uncertain,mdpi,ok,2119,"Passive solar shading is an effective strategy for reducing building energy demand, but its performance varies with climate, façade orientation, and thermal inertia. This study develops a sequentially coupled framework that links geometric shading calculation, anisotropic window heat gain prediction, and indoor thermal balance analysis across low- and high-latitude scenarios. For the low-latitude case, the model identifies a stable engineering overhang depth of about 1.85 m under the reference design space and weather inputs, while preserving winter solar admission. When compared with an unshaded baseline case with the same envelope, glazing, weather file, and internal gain assumptions, the optimized dynamic shading configuration reduces annual cooling load by more than 42% in the Guangzhou case study. For the high-latitude case, coupling shading with thermal mass parameters improves annual energy performance, and the best tested configuration achieves an energy-saving efficiency of 37.83% with an annual heating load of 96.14 MWh in the Stockholm scenario. The uncertainty and sensitivity analysis reports deterministic quantitative ranges and representative cases: the low-latitude recommended depth remains within the 1.85–1.864 m engineering neighborhood, while the Stockholm sensitivity sweeps show heating-load reductions of approximately 32.2–34.1% and indoor temperature variation reductions of up to 60.5–78.3% across the tested thermal mass parameter ranges. The discussion also clarifies the influence pathways of literature-sourced PCM and thermal property parameters, especially latent heat, thermal conductivity, and effective heat capacity. The quantitative validation boundary analysis distinguishes internal verification, controlled baseline benchmarking, and the external EnergyPlus/IDA ICE or measurement comparison still required for calibrated prediction. The results support the framework as a model-development tool for comparing passive design strategies under clearly defined assumptions, validation boundaries, practical engineering limits, and deterministic sensitivity ranges."
2-s2.0-105033239035,10.1016/j.buildenv.2026.114475,10.1016/j.buildenv.2026.114475,Surrogate model-based design optimization of modular façades under multifunctional scenarios,Building and Environment,Article,uncertain,elsevier,missing,0,
2-s2.0-105031888860,10.1016/j.enbuild.2026.117222,10.1016/j.enbuild.2026.117222,"High-performance envelopes in the Mediterranean: Energy and comfort effects of BIPVs, shading devices, and green walls",Energy and Buildings,Review,uncertain,elsevier,missing,0,
2-s2.0-105031735170,10.1016/j.enconman.2026.121306,10.1016/j.enconman.2026.121306,Adaptive photonic films for fenestration-integrated PV technology to enhance energy saving and thermal comfort: Concept and theoretical investigation,Energy Conversion and Management,Article,uncertain,elsevier,missing,0,
2-s2.0-105030483087,10.1016/j.rser.2026.116836,10.1016/j.rser.2026.116836,"Self-adaptive radiative cooling for building envelopes: Principles, materials, applications, and perspectives",Renewable and Sustainable Energy Reviews,Review,uncertain,elsevier,missing,0,
2-s2.0-105034725653,10.1016/j.conbuildmat.2026.146124,10.1016/j.conbuildmat.2026.146124,Drying process in a 3D-printed multilayer wall system: An experimental and numerical analysis,Construction and Building Materials,Article,uncertain,elsevier,missing,0,
2-s2.0-105040227506,10.1117/12.3090546,10.1117/12.3090546,Smart Adaptable Multistable Building Facades,Proceedings of SPIE the International Society for Optical Engineering,Conference Paper,uncertain,other,ok,1951,"Smart adaptable multistable (SAM) building façades offer a promising strategy for improving building performance by passively responding to environmental stimuli while maintaining mechanical stability and low energy demand. This study investigates a scalable multistable façade module based on the nonlinear snap-through behavior of compliant curved-beam mechanisms. The proposed module achieves three distinct and repeatable geometric states, including an initial configuration and two stable post–snap-through states. Prototypes were fabricated using fused deposition modeling of flexible polylactic acid and experimentally characterized under quasi-static in-plane loading. A systematic parametric study quantified the influence of four key geometric parameters on snap-through behavior and actuation demand. Increasing the number of bistable beams from one to two raised the first snap-through force by 150%, establishing robust multistability, whereas further increasing the bistable beam count to three resulted in marginal gains of less than 8% in the first snap-through force. Bistable beam spacing showed a non-monotonic effect on snap-through force, with the 6 mm configuration yielding the highest force response, exceeding the 4mm and 7mm cases by up to 64.7% and 58.3%, respectively. Reducing the edge distance from 30mm to an intermediate value of 25mm decreased the first and second snap-through forces by 22% and 26%, respectively. Similarly, a pulling-element thickness of 0.4mm resulted in the lowest actuation force of 18.72N, reducing the first snap-through force by 16% and 20.9% compared to the 0.3mm and 0.5mm configurations, respectively. Overall, the results demonstrate that geometric tuning directly controls snap-through behavior, with intermediate parameter values minimizing actuation force while preserving robust multistability. These findings support the feasibility of scalable, low-energy multistable façade systems."
2-s2.0-105029653511,10.1016/j.enbuild.2026.117104,10.1016/j.enbuild.2026.117104,Bio-jaali: Reimagining vernacular passive cooling screens with mycelium-based composites,Energy and Buildings,Article,uncertain,elsevier,missing,0,
2-s2.0-105029647797,10.1016/j.enbuild.2026.117129,10.1016/j.enbuild.2026.117129,Evaluation of smart glazing properties for net positive windows in commercial buildings,Energy and Buildings,Article,uncertain,elsevier,missing,0,
2-s2.0-105024445764,10.1108/OHI-12-2024-0402,10.1108/ohi-12-2024-0402,Algorithmic replication of macramé techniques: bridging analog movements with computational design,Open House International,Article,uncertain,other,ok,2165,"Purpose. This study explores how traditional macramé techniques can be digitally controlled and automated, contributing to the preservation of cultural heritage and offering a new perspective for innovative architectural applications. By translating macramé's knot-making process into a computational model, this research aims to protect traditional know-how and transfer it to future generations while addressing modern design challenges related to adaptive, sustainable building solutions.Design/methodology/approach. The research involves a review of literature on the geometric and mechanical analysis of macramé weaving, focusing on knot tightness, yarn thickness and the resulting structural rigidity, as well as their digital counterparts. By using Rhino/Grasshopper, the study develops an adaptable digital macramé model capable of mimicking analog knot-making movements. In addition, two parametric variations (tight vs. loose knots) were tested as daylight-control systems through digital simulation. Luminance data were analyzed using ImageJ, incorporating brightness histograms and false-color heatmaps to assess performance.Findings. The study demonstrates that digital simulations of macramé movements can enhance both the precision of production and its adaptability to architectural applications such as shading and airflow modulation. The luminance analysis indicates a substantial variation in daylight performance based on knot tightness. However, the current parametric script is limited in its adaptability to 3D geometries due to coordinate system constraints, which are discussed as a key area for future development.Originality/value. This research advances the field of digital-analog integration by developing an algorithm that not only replicates traditional macramé movements but also tests their performance in a building context. By digitally preserving cultural knowledge and applying it in adaptive façade systems, the study aligns with SDG 11 (Sustainable Cities and Communities) and SDG 9 (Industry, Innovation and Infrastructure), demonstrating how traditional crafts can inform sustainable and responsive architectural solutions."
2-s2.0-105037043202,10.3390/buildings16081519,10.3390/buildings16081519,The Development and Performance of a Novel Switchable Shading Device,Buildings,Article,uncertain,mdpi,ok,1467,"Existing buildings with large glazing ratios within subtropical Mediterranean climates face substantial challenges for thermal and visual control of their indoor environment. Previous research by the same authors has already identified the potential of incorporating both solar–PDLC (polymer-dispersed liquid crystal) and SPD (suspended particle device) switchable films within facades exposed to high solar insolation to provide a wide dynamic range of visual transparencies. This paper identifies a novel application for switchable laminates within a dynamic external shading device that permits the casting of a shadow on demand onto existing fenestration. This study compares the degree of glare within an enclosed space attained by a conventional opaque overhang over a window to that achieved with glass shading overhangs incorporating two types of switchable films. Using a scale model in a field test setting, indoor illumination and glare measurements are investigated under different states of switchable films and compared to those provided by conventional static glazing, with and without ordinary external overhangs under identical field test conditions. Results show that switchable overhangs in their transparent/bleached state can allow the ingress of daylight without creating excessive glare, whereas in their translucent/tinted state, switchable shades can deliver a level of glare protection similar to that provided by an opaque shading overhang."
2-s2.0-105036811313,10.3390/buildings16081615,10.3390/buildings16081615,"Wind-Sound Synergy and Fractal Design: Intelligent, Adaptive Acoustic Façades for High-Performance, Climate-Responsive Buildings",Buildings,Article,uncertain,mdpi,ok,2413,"The building façade serves as the primary interface between the built environment and external climate, marking the transition from static regulation to dynamic response in climate-adaptive design. While existing research predominantly addresses periodic climatic elements such as temperature and solar radiation, the highly stochastic wind environment and its potential for internal acoustic problems remain systematically unexplored. This study investigates the acoustic modulation mechanism of building façades under dynamic wind conditions through a simulation-based methodology. The primary aim is to demonstrate the use of active control to mitigate the influence of fluctuating wind on the internal acoustic environment of buildings with open windows or semi-open boundaries, focusing on the coupling between stochastic wind fields and architectural acoustics in humid subtropical climates. We propose a wind-responsive adaptive acoustic façade system employing fractal geometry and configurable delay strategies, and develop a high-fidelity simulation framework to quantify how façade geometry and activation logic regulate acoustic parameters under varying wind conditions (1–8 m/s). Results indicate that: (1) support vector regression-based mapping of wind speed to delay strategies maintains key sound-field parameters (Lateral Fraction (LF), Speech Clarity (C50), and Early Decay Time to Reverberation Time ratio (EDT/RT30)) within 10% fluctuation across wind regimes; (2) fractal configurations achieve balanced wide-band (125 Hz–8 kHz) performance, with SPL fluctuation <3 dB, spectral tilt (+0.3 dB), and reverberation time slope <0.3; (3) configurational switching between column (high LF) and row (high C50) arrangements enables dynamic trade-off between spatial impression and speech clarity. This work establishes an integrated framework coupling wind dynamics, façade morphology, and acoustic modulation to regulate objective indoor acoustic parameters. Based on the simulated omnidirectional point-source model, the results show that key acoustic indicators remain stable across varying wind conditions, providing a theoretical and quantifiable basis for climate-responsive acoustic envelope design. Future work will include empirical prototype testing and listening tests to determine whether these simulated acoustic parameters translate into improved comfort and well-being for occupants."
2-s2.0-105034762437,10.51461/issn.2309-3072/87.2744,10.51461/issn.2309-3072/87.2744,Breathing architecture: Integrating nature and cities,Project Baikal,Article,uncertain,other,ok,569,"Расширение мегаполисов приводит к разделению повседневной городской деятельности и близлежащих экосистем, что приводит к фрагментации среды обитания и снижению доступности зеленых зон. Предлагается новый подход к проектированию зданий «Дышащая архитектура». Показано, как городские крыши, фасады и деревянные конструкции могут быть синхронизированы с сезонными ритмами и местным климатом. Используя концепции экологической психологии, культурной символики, биомимикрии, исследователи разрабатывают элементы, которые функционально соединят здания с природными системами."
